,tf_list
YIL164C,YOR028C; YIL036W; YFL021W; YEL009C; YKL032C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YER040W; YDL106C; YER169W; YBL103C; YJL127C; YDR207C; YIL131C; YMR016C; YCR084C; YHR084W; YBR083W; YDR253C; YDR451C; YFR034C; YCR065W; YNL103W; YPR008W; YFL031W
YKR002W,YEL009C; YIR017C; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YIR018W; YOR162C; YBL005W; YJR060W; YER040W; YPL049C; YDR253C; YGL162W
YJL198W,YIL036W; YNL068C; YFL021W; YEL009C; YGL073W; YKL032C; YIR017C; YDL020C; YLR403W; YIL101C; YPR104C; YBL005W; YJR060W; YPL038W; YER111C; YKR099W; YHL027W; YIL131C; YOR290C; YMR016C; YIR033W; YHR084W; YDR253C; YMR182C; YPR199C; YCR065W; YDR216W; YGL162W; YDR423C; YFL031W; YIR013C
YDR438W,YKL112W; YEL009C; YIR017C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YDR123C; YDR207C; YMR016C; YHR084W; YER028C; YBR083W; YHR124W; YDR253C; YPL177C; YNL314W; YBR240C; YNL103W; YFL031W; YKL015W; YDR081C
YBR101C,YKL112W; YOR028C; YNL027W; YIL036W; YLR228C; YNL068C; YFL021W; YEL009C; YGL073W; YKL032C; YIR017C; YGL035C; YGL209W; YMR037C; YKL062W; YGL013C; YLR176C; YDL020C; YLR403W; YKL020C; YIL101C; YML007W; YIR018W; YDR259C; YOR162C; YOR140W; YPR104C; YBL054W; YBL005W; YGL071W; YJR060W; YPL038W; YER040W; YOR032C; YER111C; YPL202C; YKR099W; YIR023W; YPL049C; YLR113W; YDR123C; YOL116W; YMR164C; YHL020C; YDL106C; YLR014C; YHL027W; YER169W; YOL067C; YBL103C; YJL127C; YDR463W; YDR310C; YDL170W; YPL139C; YDR207C; YBR239C; YIL131C; YOR290C; YMR016C; YCR084C; YIR033W; YPL254W; YHR084W; YMR039C; YML076C
YLR020C,YOR028C; YEL009C; YIR017C; YGL013C; YDL020C; YKL020C; YML007W; YBL005W; YJR060W; YPL038W; YOR290C; YCR084C; YIR033W; YHR084W; YBR083W; YDR253C; YPR199C; YKL038W; YHR206W; YJL056C
YOR293W,YOR028C; YNL027W; YIL036W; YNL068C; YEL009C; YGL073W; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YDR259C; YOR162C; YPR104C; YBL005W; YJR060W; YPL038W; YER040W; YOR032C; YKR099W; YOL116W; YER169W; YBL103C; YJL127C; YDR207C; YIL131C; YMR016C; YIR033W; YPL254W; YAL051W; YOR344C; YHR124W; YDR253C; YDR451C; YPL177C; YNL314W; YCL055W; YKL038W; YHR206W; YER109C; YNL216W; YLR131C; YML099C; YGL237C; YKL043W; YHR178W; YBR240C; YPL075W; YLR223C; YOR363C; YPL133C; YKL015W; YDR146C; YPL248C; YOL028C; YDR520C
YJR044C,YEL009C; YKL032C; YIR017C; YMR037C; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YIR018W; YBL005W; YJR060W; YPL038W; YPL202C; YKR099W; YHL027W; YER169W; YOL067C; YDR310C; YDL170W; YDR207C; YIL131C; YCR084C; YNL199C; YBR083W; YDR253C; YMR182C; YNL314W; YPR199C; YFR034C; YDL056W; YER109C; YNL216W; YLR131C; YGL237C; YMR070W; YIL130W; YJR127C; YPR008W; YJL103C; YDR423C; YGL254W; YOR372C; YBR297W; YDR146C; YGL166W; YPL248C; YBR182C; YHL009C; YMR021C
YNL329C,YOR028C; YIL036W; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YBL005W; YJR060W; YPL038W; YDR123C; YDR310C; YIL131C; YOR290C; YCR084C; YAL051W; YBR083W; YDR253C; YMR182C; YMR043W; YBR049C; YPR199C; YNL216W; YLR131C; YOL108C; YGL237C; YGR249W; YMR070W; YOR363C; YDR146C
YIR004W,YKL112W; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YHL027W; YJL127C; YDR207C; YCR084C; YHR084W; YOR344C; YDR253C; YML027W; YMR043W; YPL177C; YFR034C; YDR213W; YKL038W; YNL216W; YHR178W; YDR421W; YOR363C; YDR392W; YKL015W; YDR146C; YER045C; YHL009C; YMR021C
YNL044W,YKL112W; YNL027W; YIL036W; YLR228C; YFL021W; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YDR123C; YHL020C; YER169W; YBL103C; YJL127C; YDR463W; YIL131C; YCR084C; YIR033W; YPL254W; YBR083W; YHR124W; YDR253C; YMR043W; YJL110C; YFR034C; YDL056W; YER109C; YNL216W; YOL108C; YGL237C; YBL021C; YHR006W; YNL103W; YPR008W; YPR065W; YFL031W
YMR246W,YKL112W; YOR028C; YIL036W; YEL009C; YIR017C; YGL209W; YMR037C; YLR176C; YDL020C; YKL020C; YIL101C; YML007W; YDR259C; YOR162C; YPR104C; YBL005W; YJR060W; YPL038W; YER111C; YKR099W; YLR113W; YDR123C; YHL020C; YDL106C; YHL027W; YER169W; YDR207C; YCR084C; YIR033W; YHR084W; YNL199C; YAL051W; YBR083W; YLR256W; YHR124W; YMR182C; YMR042W; YPL089C; YDL056W; YDR216W; YGL162W; YOL108C; YGL237C; YNL103W; YPR008W; YJL103C; YPR065W; YDR096W; YPL128C; YLR013W; YMR021C
YLR183C,YKL112W; YNL027W; YIL036W; YNL068C; YEL009C; YGL073W; YIR017C; YGL035C; YMR037C; YKL062W; YGL013C; YLR176C; YDL020C; YLR403W; YIL101C; YML007W; YIR018W; YOR162C; YPR104C; YBL054W; YBL005W; YGL071W; YJR060W; YPL038W; YER040W; YOR032C; YER111C; YPL202C; YKR099W; YPL049C; YLR113W; YDR123C; YMR164C; YHL027W; YER169W; YJL127C; YDR463W; YDR310C; YPL139C; YBR239C; YIL131C; YCR084C; YPL254W; YHR084W; YNL199C; YER028C; YAL051W; YBR083W; YDR253C; YDR277C; YOR380W; YCR106W; YMR182C; YNL167C; YER161C; YPR009W; YML027W; YER184C; YKR034W; YJL110C; YMR042W; YKL109W; YNL097C; YBR033W; YCL055W; YDL056W; YNL216W; YGL162W; YIL130W; YHR006W; YLR223C; YLR451W; YPR008W; YMR280C; YKR064W; YGL254W; YDR477W; YGL096W; YBR297W; YGL166W; YLR013W; YML051W; YMR021C; YER068W; YOR113W; YDR009W
YJL062W,YKL112W; YOR028C; YIL036W; YNL068C; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YPL038W; YKR099W; YDR310C; YDR207C; YCR084C; YNL199C; YER028C; YOR344C; YPR009W; YMR043W; YPL177C; YGL237C; YJR127C; YBR240C; YPL075W; YPR008W; YOR363C; YKL015W; YGR288W; YBR297W; YPL248C
YER161C,YIL036W; YEL009C; YIR017C; YMR037C; YGL013C; YLR176C; YDL020C; YIL101C; YML007W; YBL005W; YJR060W; YPL038W; YDR123C; YHR084W; YGR044C; YER109C; YGL096W
YDR031W,YOR028C; YIL036W; YLR228C; YKL032C; YIR017C; YGL013C; YDL020C; YLR403W; YIL101C; YIR018W; YPR104C; YBL005W; YGL071W; YJR060W; YPL038W; YER040W; YDR123C; YER169W; YIL131C; YMR016C; YNL199C; YDR253C; YDR043C; YER130C; YMR043W; YJR147W; YKL109W; YFR034C; YGL162W; YGL237C; YBL021C; YOR358W; YGR249W; YLR183C; YBR066C; YMR070W; YIL130W
YER107C,YKL112W; YIL036W; YEL009C; YIR017C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YPL038W; YJL127C; YDR207C; YCR084C; YHR084W; YBR083W; YDR253C; YDR277C; YKR034W; YJL110C; YCR065W; YLR182W
YOR242C,YIL036W; YFL021W; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YBL005W; YJR060W; YER111C; YBL103C; YDR207C; YIL131C; YCR084C; YHR084W; YNL199C; YER028C; YHR124W; YDR253C; YNL167C; YPR199C; YOL108C; YMR021C
YFL031W,YKL112W; YNL027W; YIL036W; YNL068C; YEL009C; YGL073W; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YKL020C; YIL101C; YML007W; YIR018W; YOR162C; YPR104C; YBL005W; YJR060W; YER040W; YMR164C; YHL020C; YER169W; YJL127C; YIL131C; YOR290C; YCR084C; YIR033W; YHR084W; YBR083W; YOR344C; YDR253C; YBR049C; YPR199C; YNL216W; YHR006W; YJR127C; YPL075W; YFL031W; YOR363C; YPL128C
YOR213C,YKL112W; YNL027W; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YOR032C; YKR099W; YDR123C; YOL067C; YJL127C; YDR310C; YMR016C; YBR083W; YHR124W; YDR253C; YNL314W; YGR044C; YML099C; YFL031W
YLR077W,YNL068C; YEL009C; YGL073W; YIR017C; YGL013C; YDL020C; YML007W; YOR162C; YPR104C; YBL005W; YJR060W; YPL038W; YIL131C; YPL254W; YHR084W; YBR083W; YDR253C; YER161C; YBR049C; YPR199C; YLR223C; YPR065W; YPL248C
YPR025C,YOR028C; YIL036W; YNL068C; YFL021W; YEL009C; YIR017C; YMR037C; YGL013C; YDL020C; YLR403W; YML007W; YBL005W; YGL071W; YJR060W; YPL038W; YHL027W; YDL170W; YOR290C; YCR084C; YPL254W; YHR084W; YBR083W; YDR277C; YBR049C; YFR034C; YCL055W; YDR421W; YDR392W
YMR024W,YIL036W; YNL068C; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YER169W; YIL131C; YOR290C; YCR084C; YHR084W; YNL199C; YDR253C; YCL055W; YLR131C; YOL108C; YOR230W
YER101C,YKL112W; YIL036W; YFL021W; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YLR403W; YML007W; YPR104C; YBL005W; YJR060W; YPL038W; YKR099W; YHL027W; YER169W; YJL127C; YMR016C; YNL199C; YBR083W; YOR344C; YHR124W; YDR253C; YML027W; YFR034C; YER109C; YNL216W; YLR223C; YDR501W
YNL074C,YOR028C; YEL009C; YGL013C; YDL020C; YKL020C; YIL101C; YML007W; YPR104C; YBL005W; YJR060W; YPL038W; YOR032C; YKR099W; YJL127C; YDR310C; YDR207C; YMR016C; YCR084C; YIR033W; YHR084W; YBR083W; YOR344C; YDR253C; YDR451C; YPL177C; YNL216W; YGL162W; YJL056C; YMR070W; YHR178W; YLR223C; YOR363C; YGL096W; YIR013C; YGL166W; YPL248C; YOL028C; YLR013W
YMR312W,YOR028C; YIL036W; YFL021W; YEL009C; YKL032C; YIR017C; YDL020C; YML007W; YBL005W; YJR060W; YER040W; YOR032C; YDL106C; YIL131C; YMR016C; YIR033W; YPL254W; YHR084W; YNL199C; YHR124W; YDR253C; YBR049C; YPL177C; YKL038W; YHR206W; YER109C; YNL216W; YLR131C; YGR249W; YHR178W; YPL128C; YIR013C; YBR297W; YPL248C; YER045C
