,network_score,model_score,moded_network_score,diff,network_model_score
YNL045W,0.8919446018694234,0.5892531600868633,0.5685785511426003,-0.30269144178256,0.8926409020270476
YER048C,0.7768314077702361,0.4734423979738188,0.17724826115271586,-0.30338900979641725,0.82717264451811
YKL142W,0.7818033442035666,0.4772763183572666,-0.3501058788327178,-0.3045270258463,0.8145609515132014
YDR040C,0.9111402132740016,0.6065961885986233,-0.347724559044823,-0.30454402467537833,0.9115898273786434
YDR284C,0.8676048609616787,0.5626322792795653,0.4440143070833069,-0.3049725816821134,0.8584732664114192
YLR228C,0.9319054640297545,0.6269242231632919,0.610558320560959,-0.3049812408664626,0.9357702552522756
YER003C,0.7284521374345316,0.42311674124361953,0.0889887319406234,-0.3053353961909121,0.7257248521640605
YDR232W,0.8314471352984629,0.5253357097330642,-4.037693158601969,-0.3061114255653987,0.8809579774041366
YOL055C,0.784022516742243,0.4777655610978605,0.39825281447347416,-0.3062569556443825,0.7837752381493467
YDR498C,0.9584470701010877,0.6521227018806838,0.700167034832304,-0.3063243682204039,0.9515576350042845
YML115C,0.8598915133253051,0.553449796829462,0.6920132397802294,-0.30644171649584306,0.8764918392924365
YGL092W,0.5886195214267136,0.28208596063345603,0.0644917269051567,-0.30653356079325755,0.7165252270562581
YER051W,0.9197908349002837,0.6130693153393942,0.9118490802153217,-0.30672151956088944,0.8649101030258937
YHR199C,0.7471059370071171,0.44034052245334254,-0.13974054976920747,-0.3067654145537746,0.7558442445990469
YDR332W,0.8483753824734707,0.5414621748592412,0.9360745242263621,-0.30691320761422947,0.9223010625915626
YDL150W,0.08275426304112043,-0.22498039961746508,-0.9667200592768364,-0.3077346626585855,0.6410047329701033
YDR294C,0.951402405460677,0.6431986580214629,0.7737573590662032,-0.3082037474392141,0.9796452426393967
YPL140C,0.8649471177097218,0.5566481357985662,0.7039717592799112,-0.30829898191115557,0.8065230445331667
YMR276W,0.9634019381316002,0.6548184235826917,0.17284627396922958,-0.30858351454890853,0.9669118532679992
YJR137C,0.9494583399937095,0.6407763859077713,0.9482393793326125,-0.30868195408593824,0.962142874807135
YDR077W,0.8076712751398759,0.49789179808048456,0.5366948772770826,-0.30977947705939135,0.7847561673071419
YPL219W,0.9022266522380564,0.5921544908372831,0.6527364119045838,-0.3100721614007733,0.9096047353184169
YGL095C,0.8896998661223675,0.5794421518275092,0.7090789266389214,-0.31025771429485827,0.9095873853936334
YGL137W,0.8810190607560265,0.570515859353872,0.3664854466957833,-0.3105032014021546,0.8662663146084211
YJL126W,0.9279783470014404,0.6173912930150338,0.7026423072028967,-0.3105870539864066,0.9276040678547786
YKL197C,0.9522227322351001,0.6412246343989979,0.6733113536111413,-0.3109980978361022,0.950388488924758
YBR240C,0.8140985024698398,0.502311630772972,0.758310209862925,-0.3117868716968678,0.7716983779708463
YDL005C,0.8007145791724288,0.4887988584188917,-0.6773772198356502,-0.31191572075353713,0.7949992664620955
YPL087W,0.8785051886527061,0.566345174391963,0.7858671422027685,-0.31216001426074313,0.8906488384405047
YDR425W,0.8711052644046499,0.5585922918091998,0.7711827423268237,-0.3125129725954501,0.9229353193930675
YIL057C,0.608733012332678,0.29618507945055017,-0.21997693589954337,-0.3125479328821278,0.669761472058459
YDR310C,0.8697368478551617,0.5563976830130785,0.47428755165844494,-0.31333916484208324,0.7906699304131235
YLR069C,0.7772293828809385,0.46328408768555107,0.1915449247601011,-0.3139452951953874,0.7252887530962263
YFR051C,0.951249939675809,0.6372331544405778,0.38082140941779274,-0.31401678523523113,0.9613410295846946
YFR032C-A,0.9691691305020539,0.6549684147316713,0.7991254736611069,-0.31420071577038255,0.9663930215477902
YPL002C,0.8308495892565266,0.5166360832924362,0.599502972600022,-0.3142135059640905,0.8525854231408599
YPL154C,0.8099539796829507,0.49489998345865516,-0.5426715732354459,-0.31505399622429553,0.7703238375169468
YBR169C,0.8187362020729022,0.5033856341707287,0.23949867297604732,-0.31535056790217353,0.7329205424243114
YMR163C,0.8559178603006852,0.5401844419129544,0.7144472790629416,-0.3157334183877307,0.8959591893354849
YLR043C,0.5996129169185727,0.2838396988819738,0.05709771055249857,-0.31577321803659886,0.6461832678111005
YLL023C,0.9130469132063284,0.5972562052171925,0.6875223394647079,-0.3157907079891359,0.8772107030780285
YDR192C,0.9419877630250741,0.626190081727742,0.8048874785431476,-0.3157976812973321,0.9533047106160614
YFL018C,0.9053212662250162,0.5893499049152451,0.705159428333118,-0.3159713613097711,0.9236825921248653
