,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YBR009C,0.542110575158242,-0.1243265425863473,0.1639624492462985,-0.6664371177445894,0.5105311965048023,-0.036651361981229626
YOR176W,0.8670006250303686,0.1996916096975797,-0.3828797224778142,-0.6673090153327889,0.8963271331139919,0.021815455636995586
YOR386W,0.8212518678327305,0.1523131364857947,0.1114583179415299,-0.6689387313469358,0.7947026926591729,-0.9511386879508443
YER144C,0.903622271585722,0.2343633030597005,0.7252509837819034,-0.6692589685260215,0.8882842787014519,-16.514858595533745
YNL240C,0.6008223366894018,-0.0722733783769695,0.5515325478698596,-0.6730957150663713,0.6340691902073096,0.05833599674326195
YBR008C,0.8920394036885315,0.2179070929601702,0.7435351452109692,-0.6741323107283613,0.9253307609826912,0.18786915178413705
YMR266W,0.8280895268072287,0.1532639982230071,0.6857886486094802,-0.6748255285842215,0.8064599699418196,0.3321504175898678
YDR205W,0.9515270545514548,0.2759062776896364,0.9146521369670908,-0.6756207768618183,0.8879528329900631,-19.26248794574284
YLR024C,0.9777487336250338,0.3004421287657941,0.9549343861283576,-0.6773066048592397,0.9576343812822944,0.3602381932242092
YMR213W,0.780426825962565,0.1027347653605845,0.1239669331046243,-0.6776920606019804,0.7906459564731456,-1.297477197089956
YLR105C,0.8883846007363664,0.2100731290780803,0.7763902251998848,-0.6783114716582861,0.8123630694459769,-0.650962376629122
YDL223C,0.860730897897678,0.1819540846327815,0.668250523646887,-0.6787768132648965,0.7817638051369601,-2.032789751712103
YDR378C,0.9587491063450444,0.2797079158840042,-1.4578484370047555,-0.6790411904610401,0.9759604521151396,-0.1890387511726897
YGR185C,0.4047621991448,-0.2749171078370331,-1.9494610873659848,-0.6796793069818332,0.5219275437450319,0.16105046725496053
YDR390C,0.6328385505550127,-0.0469815229418402,0.662912966804281,-0.6798200734968529,0.7011948265017063,-1.3708580126244445
YER040W,0.9504215923865056,0.2693821573776275,0.3247101209021242,-0.681039435008878,0.970276999508632,-0.781899976388819
YHR021C,0.7106335308008269,0.0292427499548403,0.6916316261198889,-0.6813907808459866,0.4902311698002518,-0.16892816011822168
YLR079W,0.8905837228581567,0.209040835314282,0.7335813275720564,-0.6815428875438746,0.8522521567613035,-2.1145668531386783
YPL027W,0.7077946744333069,0.0257883277634859,0.582530455869138,-0.682006346669821,0.7002757732484404,0.040126910531298646
YNL254C,0.7743145153221472,0.0906037905731051,0.2162877435062539,-0.683710724749042,0.8237172884567197,0.5264484382065333
YJL031C,0.8923147586855287,0.2084978639812047,0.7753171930589521,-0.6838168947043239,0.9191940290372504,-1.8143948292304852
YNL304W,0.8854475299520564,0.2009739624866494,0.7264130274378049,-0.684473567465407,0.9222433510271952,0.2547431040178131
YER029C,0.5988138730648516,-0.0857931907181079,-1.1833447179721257,-0.6846070637829595,0.5344045027426125,0.2925524143885172
YEL017W,0.9215561044028228,0.2369280152884907,0.4998102862611266,-0.684628089114332,0.9371377402183024,0.2595910584143727
YDL079C,0.8670399364272781,0.1823073013046227,0.9259720964061235,-0.6847326351226554,0.9623951507903008,-0.5879255888261568
YMR308C,0.5449865183441339,-0.1407243642001105,0.1285063291218666,-0.6857108825442445,0.6213687030155617,-0.09098914967885363
YLL041C,0.8803023984113219,0.1938470740564293,-2.535586245800501,-0.6864553243548925,0.8760006220926918,0.17402046500606985
YOL096C,0.8876020547317143,0.2006645268241611,0.309983366316932,-0.6869375279075531,0.8317989161927613,-7.045479641983559
YDR276C,0.7394094614743352,0.0524041193151554,0.2252803253166881,-0.6870053421591797,0.7926612349399433,-0.004098398433538497
YOR182C,0.9666080676780822,0.2778108823545888,0.5567682015090536,-0.6887971853234933,0.9538492871929396,0.39855171943461787
YGR240C,0.5927712822526514,-0.0978599453508168,0.5332802726892315,-0.6906312276034683,0.7332869294963307,-0.6384485198238365
YOL023W,0.9279683130761662,0.2372787651346617,0.701929837041443,-0.6906895479415045,0.9384229709125136,0.38010738396393295
YNL088W,0.6229014129942468,-0.0692155104307012,0.5215812301967999,-0.6921169234249481,0.5275641364719963,-1.1150179787498833
YHL034C,0.8272937590889567,0.1350136333571807,-0.1474869591776617,-0.692280125731776,0.8262745278598628,-1.9239845475825963
YPL122C,0.5945310543873579,-0.0991136135782739,0.1978847542584904,-0.6936446679656318,0.55320793028723,-0.34197658237941775
YER179W,0.7790353390622493,0.0846566414983243,0.880082977575642,-0.694378697563925,0.8349088888506653,-3.647909704144967
YLR186W,0.1970708682575788,-0.4979688325660736,-0.3992822688354842,-0.6950397008236524,0.2256685779227202,-3.561488618126506
YMR149W,0.8333197142504424,0.1372408790185663,0.0335652828205889,-0.6960788352318761,0.8578306940037991,-0.0650243947481787
YOR293W,0.5840193680811729,-0.1133894781447519,0.2627593170774124,-0.6974088462259249,0.5760792554515489,0.01779843396878713
YKR067W,0.8640677830225074,0.1656757414075368,0.4672959227672517,-0.6983920416149706,0.8529911659086035,0.3337861680491293
YER050C,0.883330796075862,0.1848987053413527,0.5891921679669464,-0.6984320907345092,0.8970083572221497,-2.183573053603051
YGL229C,0.7537955087151036,0.0548648420600988,-1.3485947387617836,-0.6989306666550047,0.6992736338063348,-0.9508432627462705
YOR128C,0.8668445326336868,0.167262138123341,0.9677882364246674,-0.6995823945103458,0.9017601328846008,-0.7727282085309561
YPR042C,0.7917429744360013,0.0890311602850081,0.3118537422219769,-0.7027118141509932,0.7897636355657487,-1.6128578740198023
YLR245C,0.7403926626069106,0.0362708250921682,-0.1127921454025475,-0.7041218375147423,0.7288644695084473,-40.93663135082135
