,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_top_feature_num,linear_top_feature_num,test_var,test_std
YOL136C,0.44264978569928903,0.6230916456293822,0.48832985330651457,0.2341472470044451,0.4522620063399362,0.48312073398953725,0.03185714276395424,0.02619754635562197,0.03052374206497096,0.0373435305181604,0.03158123933129208,0.030678723920111044,8,8,0.001852842948289912,0.04304466225085187
YDR027C,0.794745558345628,0.7595264289093602,0.7490545761931906,0.6787294374344415,0.7991000571727261,0.6941948356162455,0.023064033872176613,0.024964487894164437,0.025502257432806534,0.028855224138002327,0.02281806914410334,0.028152138663183914,6,9,0.0026371273831761553,0.05135296859166133
YEL037C,0.5852552541761362,0.6289709273091937,0.599479153013768,0.39450469458436555,0.5469456663498482,0.3140293935417261,0.11246678309992808,0.10637456500847893,0.11052140306995167,0.13589053762222877,0.11754630210456461,0.144639389513662,7,9,0.031032787766795054,0.17616125501027477
YKL098W,0.7473166810901042,0.7031000909184573,0.7010422952795808,0.6046369782345571,0.6979941635758402,0.575925201231717,0.0259335578302047,0.02811116522960242,0.02820841542018505,0.03243932727197231,0.02835185528911225,0.03359657827441795,8,10,0.0027083249394811767,0.052041569341067885
YNL038W,0.7193673619695726,0.6502838172506562,0.690105765625364,0.48465175514118386,0.6314616286900689,0.4750760321513612,0.023088002971295502,0.02577360360869616,0.02426185642433777,0.03128727078289657,0.02645809895195433,0.03157660843807526,8,9,0.0019328034777932597,0.043963660877971246
YOR271C,0.5634370873557842,0.5327470250058728,0.5266056636089081,0.421088397575644,0.6541573704105601,0.6671017103146799,0.047608702321785504,0.04925371152804928,0.04957633910514458,0.054823789549501394,0.042374265871755995,0.04157370277528779,7,9,0.0052829802558498375,0.07268411281600566
YHR091C,0.77999496376096,0.7288760189972403,0.7823848444301407,0.6075861788802734,0.7345109302463877,0.506021990410611,0.023160642063411743,0.02571095746627635,0.023034503336026288,0.030931888150717235,0.02544237247711434,0.03470468377049255,7,10,0.002480971097629206,0.04980934749250592
YDR129C,0.8963323199393066,0.7042121236315538,0.8614909271445456,0.6920386879485401,0.9247221872748024,0.84675573174336,0.06642315184180814,0.11219873856698796,0.07677801869475112,0.11448428343233248,0.056601935932258075,0.08075880972956538,5,8,0.04330606436396989,0.208101091693364
YBR018C,0.29397307218861224,0.6399120185246652,0.4968572356380846,0.6772477044038778,0.6491646918593956,0.6841054340809714,0.4396182047249666,0.3139564060117495,0.3711168313831253,0.29723483475432055,0.309896508289009,0.29406010861186466,6,6,0.2785372024512098,0.5277662384533609
YAL048C,0.8225794321476658,0.7904098190924805,0.7961201990781184,0.6387215868200959,0.7806076099779111,0.6412395763000243,0.02544508667328974,0.027655875939148866,0.027276525731937406,0.036309724895664086,0.028295197635837342,0.03618297034250697,7,10,0.003713274387797619,0.06093664240666382
YNR052C,0.6380919926842195,0.3835714654833037,0.6480393980703987,0.4737355761916464,-0.08693961373406434,0.3839590750745945,0.017231188134844214,0.022488344994090824,0.016992729888131896,0.020778688582722717,0.029861996254157506,0.02248127355886568,7,8,0.0008348056778175778,0.028893003959740458
YPR030W,0.802445661580848,0.7828338994849743,0.785059581051589,0.7085752875878766,0.6242921665335931,0.6127227543894691,0.03686583571093433,0.03865243105436786,0.03845385135011471,0.04477586514424286,0.050840044578231144,0.05161688453044052,6,9,0.007000269066132566,0.08366761061565321
YMR263W,0.7655264994732934,0.7565596481875625,0.7583345750048276,0.6541439168534713,0.6839756533696977,0.6071141326723799,0.02530901442048089,0.025788413971223036,0.025694230150015727,0.030738032045934293,0.029382491603561104,0.03276133216993543,8,10,0.0027797762318361088,0.05272358326058756
YOL032W,0.664042574340364,0.4804424574108025,0.6251648779946253,0.6377721253806233,0.6168147624935549,0.447391212900934,0.03565416838282289,0.04433891033992683,0.03766069475818578,0.03702193573792644,0.03807786356413377,0.045727460368701164,8,9,0.003850255195091072,0.062050424616525164
YOL027C,0.8290628044145517,0.7626442880732356,0.7200610297721023,0.5619600014855869,0.8102473105904835,0.6491570229359576,0.024424318405852782,0.028780876066957697,0.03125617616810313,0.039098585879480896,0.025733457175482116,0.0349913388120836,7,9,0.003551088282078659,0.0595910083995787
YOR039W,0.539709931760133,0.49761133324524687,0.5138604357374263,0.42564875540614566,0.5194849211024244,0.4671512458832435,0.051524269791327154,0.05382895643903115,0.05295128785123102,0.0575552343767937,0.05264408163164493,0.05543678308656159,7,9,0.005868744802350554,0.07660773330643945
YKL116C,0.7293648765457417,0.6983478769760503,0.7120367239070555,0.5986640801669552,0.7645581924142077,0.6128973308165053,0.02503450851119828,0.02643018378125636,0.025823526076721844,0.03048603932042733,0.023350101974918026,0.029940570605158888,7,10,0.002356389710448975,0.04854265866687747
YOR116C,0.7905952328373138,0.5904037684984753,0.6942754897224033,0.6089294836458128,0.532833961337011,0.42040387808119817,0.02619574939745564,0.03663663021610449,0.031652110552357074,0.03579852083505599,0.039126696059929494,0.04358130999453607,8,7,0.0033344808512161582,0.057744963860203065
YDR023W,0.8493844418174896,0.7445568542412618,0.7803485438568275,0.6505784287030256,0.8244193458627468,0.7996455128642999,0.08527458122306097,0.11105338593730449,0.10297972336082874,0.12988515998882494,0.09207103152321569,0.09835223062384361,6,9,0.049127254363314034,0.22164668813973745
YOR267C,0.25583165531743235,0.1962191926383322,0.20993512612933773,0.25049583730235103,0.24572149172182378,0.2852303593320564,0.09285711000741222,0.09650468175428263,0.0956777477992886,0.09318941630913509,0.09348575368421069,0.09100444718895004,7,9,0.011789958373426472,0.10858157474188
YDL140C,0.9401816353307699,0.8245556920747102,0.9246563465449346,0.7164933785402932,0.9221843309469775,0.7717808662951834,0.037884698856129516,0.06488080246620986,0.04251771428514011,0.08247611104455131,0.04320958540937403,0.07399844569535038,6,8,0.024414412650768533,0.1562511204784418
YER165W,0.5368474358336999,-0.11781350600451734,0.531876086412877,0.3912227441805879,0.5493012057538332,0.4208545642739788,0.1969016872405337,0.3058947881706482,0.19795561033919706,0.22574420500808598,0.1942363906536075,0.2201816998280552,9,9,0.08517809841446765,0.2918528711773582
YGL216W,0.7544632940030354,0.8913933719305542,0.7071012930484292,0.6348181933176374,0.8428527379682546,0.732883995628904,0.03044175004206672,0.020246015646573554,0.03324835249322453,0.03712495786759405,0.0243536921758328,0.03175128877581033,6,10,0.0038403954271788968,0.061970924046514726
