,linear,ridge,lasso,elastic_net,bayesian_ridge,quantile,quadratic,linear_gs,ridge_gs,lasso_gs,elastic_net_gs,bayesian_ridge_gs,quantile_gs,quadratic_gs
YDR280W,-51.259781427209184,0.5709151128364163,-0.004177000374272044,-0.004177000374272044,0.5337335639082936,-inf,-0.7098463537062114,0.2950632486214878,0.4732495326194742,-0.004177000374272044,-0.004177000374272044,0.5789199259435119,-0.09510508518475458,-25.365741957536528
YER148W,-22.35113192560019,0.18319446643779125,-0.04076765267446025,-0.04076765267446025,0.2219767770066483,-0.15271514659480778,-4.348238550397553,-7.337416820223384,0.14658594444879147,-0.04076765267446025,-0.04076765267446025,-2.498686794968746,-2.1960820951204878e+222,-148.7784943622565
YPL221W,-17.472162177061627,0.7230764876200677,-0.2042096929084558,-0.2042096929084558,0.7452531019328397,-1.8913273448149975e+199,-11.382476968431886,-1.6381805481514746,0.758167386486512,-0.2042096929084558,-0.2042096929084558,0.512757301703336,-0.0003855650973894065,-15.149709833837374
YOL130W,-4.713501820036853,0.44898024021613314,-0.33256987787965064,-0.33256987787965064,-4.274365013367595,-2.1651427931178169e+251,-1.095241134527491,-21.370325764434526,0.39390869631314684,-0.33256987787965064,-0.33256987787965064,-15.97833562302403,-0.15834221348544752,-38.06663983668061
YBL045C,-1368.3274497126108,0.6412856770777406,-5.670923783895887e-06,-5.670923783895887e-06,-0.5555059806208453,-0.04267954084123371,-6.885755869184296,-10.531247010997475,0.5800874105910765,-5.670923783895887e-06,-5.670923783895887e-06,-8.280764081808705,-0.04256706563380663,-9.961872403234059
YOL055C,-14.37244090264139,-0.009103172186301745,-0.0564598363537665,-0.0564598363537665,-0.22798290138893829,-5.359401054727542e-06,-8.253673451654253,-83.86094341522289,0.0808339919525417,-0.0564598363537665,-0.0564598363537665,-2.417629215895715,-1.6090008636560071e-07,-77.06083592662758
YBR054W,-53.923296593799904,0.2576370773395097,-1.3677049384375195e-05,-1.3677049384375195e-05,-0.27088277982805953,-0.08370103580301791,-8.753797159760403,-3.785370040865187,0.2946522997400596,-1.3677049384375195e-05,-1.3677049384375195e-05,-0.20613524093288205,-0.08376488884133071,-0.9932392129988206
YPL040C,-40.295337538236424,0.7666645824115589,-0.052359422703343705,-0.052359422703343705,0.6814143091912144,-0.02450776757368911,-5.876241308447561,-0.1210605303646366,0.6961165977689403,-0.052359422703343705,-0.052359422703343705,0.7064406869674504,-0.022744166137435906,-4.259882493502837
YBL014C,-10.695915350750743,0.7304678674712441,-0.04356045628074323,-0.04356045628074323,0.5386070407869391,-0.03665403195232009,-12.176136928390486,-2.9497403141995213,0.6558548402919209,-0.04356045628074323,-0.04356045628074323,-1.316971020805516,-0.03658643965945618,-124.3111648846203
YCR004C,-390.66737137131724,0.011275753503670938,-0.005641332040555724,-0.005641332040555724,-0.5661320700222701,-0.004465765109254782,-9.438589409435993,-2.7667029528488585,0.13258781449693324,-0.005641332040555724,-0.005641332040555724,-2.1780109581461047,-0.004797442614702829,-11.946722135368802
