gene_name,gene_name_alt,8h_rep1,8h_rep2,8h_rep3,8h_rep4,12h_rep1,12h_rep2,12h_rep3,12h_rep4,16h_rep1,16h_rep2,16h_rep3,16h_rep4,20h_rep1,20h_rep2,20h_rep3,20h_rep4,24h_rep1,24h_rep2,24h_rep3,24h_rep4,28h_rep1,28h_rep2,28h_rep3,28h_rep4,32h_rep1,32h_rep2,32h_rep3,32h_rep4
yhjB,BS3610_RS06600,153.1426,174.1071,187.1126,186.3705,174.0961,133.4128,155.7648,168.4987,139.2058,161.9694,125.4651,137.114,103.9289,148.2122,88.6386,111.3228,108.4985,120.2579,102.3633,99.5107,96.6938,137.5349,141.9569,92.6736,104.8395,88.0559,95.5157,107.1325
yhjC,BS3610_RS06605,215.8587,314.9437,292.5238,281.2245,308.8553,265.8523,277.6443,304.888,192.6444,196.4552,130.3994,180.9939,123.0048,259.4471,114.0095,181.5055,148.1063,170.887,172.6513,149.2852,106.0414,217.7019,218.6391,118.7568,187.8011,131.7254,102.1908,155.563
yhjD,BS3610_RS06610,14.343,15.0013,7.9761,12.4793,7.8529,11.382,10.557,10.2706,17.0377,7.2521,19.8728,29.2567,34.6976,12.4322,45.9122,18.5902,27.6985,12.6164,19.5902,19.4499,105.6909,22.562,25.888,54.0154,27.3655,59.5906,79.6232,54.099
yhjE,BS3610_RS06615,140.2548,127.992,133.1305,139.5099,154.814,112.1202,125.8978,118.7471,113.3343,134.0625,90.5583,90.5294,103.5398,136.2062,117.1533,140.926,140.5944,137.6133,133.1081,169.719,130.4392,205.5004,223.2404,114.7602,226.51,196.3463,164.3511,188.8263
yhjG,BS3610_RS06625,6.3061,5.7711,4.025,5.1414,8.2682,11.4308,8.0158,9.5139,72.5345,31.9126,34.7655,33.1228,94.2971,82.0616,104.4548,253.5102,141.593,155.7245,113.6658,430.784,507.1783,807.5677,959.42,297.1782,4097.7185,2056.9208,1681.3514,2348.0226
yhjH,BS3610_RS06630,50.7128,37.8158,48.5084,49.9848,57.588,49.5592,45.3623,44.5726,106.9487,64.2614,50.0961,50.4989,149.3121,177.5903,138.8126,341.4852,213.2037,231.5907,228.9608,586.6877,563.3865,963.479,1116.041,374.5852,4665.2867,2422.7141,1875.3636,2638.5409
yhjM,BS3610_RS06655,83.1439,93.7374,93.8111,93.1061,100.7791,108.7868,110.8049,111.5639,192.0323,200.3182,137.7187,134.4356,281.7787,402.9179,282.9337,337.1983,299.1075,341.4011,341.6274,324.7119,169.0075,320.746,356.5189,224.4067,263.7517,185.9861,184.5075,224.9398
yhjN,BS3610_RS06660,22.3244,18.4659,19.2829,22.6797,45.522,57.4738,66.3585,58.5055,114.3114,141.0584,85.1503,79.2332,69.2667,93.9913,72.3117,109.5491,82.6144,105.077,87.9209,149.7641,112.1078,346.037,376.8994,116.1768,291.1917,594.9658,191.1765,318.0961
yhjO,BS3610_RS06665,2.467,2.0695,2.7701,2.7763,1.8384,1.5988,1.1916,2.1253,5.3512,2.9104,12.9602,17.987,27.0765,7.0683,32.8209,7.1693,17.1646,6.8355,10.3779,6.952,73.7872,15.1344,11.9174,37.0408,10.1196,33.4336,59.9763,34.148
yhjP,BS3610_RS06670,25.539,22.9784,23.7152,21.7699,25.1115,21.2003,24.1176,22.2495,27.8548,23.8672,35.3456,30.0759,44.6783,26.6966,48.6621,34.4148,37.4216,28.0935,31.2763,30.133,93.9748,33.7188,32.7897,59.0044,28.5791,59.8869,74.8867,53.4023
