target_gene,minimal_set,disjoint_sets
ytpR,ccpA: gutR,ccpA: gutR; araR: bltR: nusA: liaR: hutP: codY: abrB: resD: ywbI: ccpN: purR: rocR: sigX: desR: glcR: phoP: glcT: ccpC; alsR: comK; yxdJ: ycbG; cymR: mhqR: slrR; sacY: sigF: yfmP; mdxR: nadR: gerE: bkdR: fruR: sigV: tilS; ahrC: ytrA: degU: ansR: adaA: sigL: salA; abh: rplL: walR: rok: padR: splA: arsR: lexA: gabR: sigM: sigO: yfhP: comA; glnL: rsoA; mtlR: sigA; lmrA: citT; xre: malR; nsrR: sigE: sigY: licT: iolR; cysL: sigD: birA: zur: hprT; rsfA: yrkP; licR: gltC: deoR: dnaA; aseR: gntR: rpsB: spo0A: bceR: kdgR: mta: ylaC: sigB: rpmE: mntR: rplT: citB: ycnK: nhaX: gmuR: fur: mgsR: sdpR: azlB: spoVT: yclJ: xpf: ganR: sinR: natR: hrcA: frlR: cggR: manR: glpP: sigH: treR: nrdR: mtrB; acoR: bmrR: citR: csoR: cssR: ctsR: czrA: exuR: fadR: fnr: glnR: gltR: hxlR: immR: kipR: levR: ohrR: perR: pucR: pyrR: rex: rplJ: rpsD: sacT: sigG: sigI: sigW: tnrA: tyrZ: xylR: ydfI: yetL: yfiR: yodB: ywcC
yceE,arsR: sigH: nsrR: frlR,arsR: sigH: nsrR: frlR; sigV: sigL: sigO: licT: dnaA: bkdR: liaR: comA: rsfA: hutP: sigY: ycnK: sigW: bltR: xre: rsoA: sinR: slrR; sigE: mdxR: yrkP: sigA; xpf: yodB: desR: abrB: immR: nadR: abh: sdpR: cggR: hrcA: malR: comK: licR: gltC: cysL: ansR: mtlR: nusA: splA: fadR: araR: tilS: glnL: azlB: rplJ: sigG: mtrB: rocR: rpmE: sacT: codY: yfhP: nrdR: rex: sacY: cymR: fruR: gerE: sigM: lexA: lmrA: mta: resD: pyrR: yfmP: birA: ycbG: citT: yxdJ: gabR: sigF: walR: ahrC: gutR: zur: purR: padR: sigD: mhqR: hprT: glcT: adaA
glpK,sigV: hprT: cggR: hrcA,sigV: hprT: cggR: hrcA; lexA: ccpA: licT: hutP: iolR: comK: treR: xre: gerE; rsoA: sigL: tilS: yodB: sigD: ctsR: yfhP: zur: mdxR: codY: arsR: padR: gabR: ywbI: deoR: glpP: slrR: birA: yrkP: splA: glcT: sigY: liaR: lmrA: resD: sigH: bkdR: sigF: nrdR: mhqR: sigE: sigO: citT: adaA; cysL: frlR: sinR: gltC: azlB: ahrC: malR: ansR: gutR: abrB: rsfA: sacY: ycbG: nusA: purR: glnL: dnaA: bltR: comA: licR: mtlR: yxdJ: yfmP: walR: cymR: sigA; abh: acoR: alsR: araR: aseR: bceR: bmrR: ccpC: ccpN: citB: citR: csoR: cssR: czrA: degU: desR: exuR: fadR: fnr: fruR: fur: ganR: glcR: glnR: gltR: gmuR: gntR: hxlR: immR: kdgR: kipR: levR: manR: mgsR: mntR: mta: mtrB: nadR: natR: nhaX: nsrR: ohrR: perR: phoP: pucR: pyrR: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: sacT: salA: sdpR: sigB: sigG: sigI: sigM: sigW: sigX: spo0A: spoVT: tnrA: tyrZ: xpf: xylR: yclJ: ycnK: ydfI: yetL: yfiR: ylaC: ytrA: ywcC
ctc,nadR: gerE,nadR: gerE; tilS: hutP
metQ,yrkP: sigO: mdxR: hutP: padR: xre: malR: fruR: citT: sigM: sacY: purR: comK: splA: rsoA: sigA: rsfA: gerE,yrkP: sigO: mdxR: hutP: padR: xre: malR: fruR: citT: sigM: sacY: purR: comK: splA: rsoA: sigA: rsfA: gerE; araR: ahrC; deoR: bltR: sigY: comA; yfmP: treR: dnaA; tilS: licT: resD: sigE: yfhP: ccpA: lexA; hrcA: sinR: gltC: mtrB: lmrA: iolR: arsR: sigL: hprT: gabR: ywbI: salA: glcT: cysL: cymR: licR: mtlR: codY: bkdR: nrdR: sigF: walR: yxdJ: glnL: sigD: gutR: adaA: sigV: zur; ganR: bceR: glpP: natR: glnR: fur: mta: mntR: alsR: cggR: sigH: glcR: ansR: frlR: rocR: ccpN: liaR: slrR: birA: ycbG: mhqR: nusA
glpQ,mtlR: treR,mtlR: treR; glnL: lmrA; gutR: nrdR: sigO: iolR; rplL: degU: sigL: csoR: fur: yodB: tyrZ: spo0A: spoVT: gmuR: gerE: bmrR: nsrR: ycnK: sigW: hprT: aseR: nadR: xpf: fruR: acoR: citB: desR: padR: alsR: licR: yfhP: sacY: yxdJ: ccpN: codY: sigD: slrR: birA: splA: lexA: araR: cymR: bltR: dnaA: liaR: mhqR: hutP: sinR: sigH: glpP: ywbI: gabR: adaA: cysL: sigF: sigV: purR: sigA: tilS: arsR: comA: rsoA: yfmP: rsfA: deoR: ylaC: glcT: hrcA: sigE: walR: manR: citT: licT: sdpR: resD
xkdM,cysL: kdgR: mdxR: rsoA,cysL: kdgR: mdxR: rsoA; yetL: glnL: mtlR: sigO; nrdR: hprT: glpP: gutR: resD: manR: lmrA: deoR; bkdR: ahrC: sigV: glcR: iolR: glcT: sigD: sdpR
yjzB,sigO: sigF,sigO: sigF
dppE,mtlR: resD,mtlR: resD; deoR: cymR; tilS: gutR: ahrC: ywbI: licT: rsfA: bkdR: nrdR: yxdJ; purR: comA: lexA: mntR: nusA: licR: rpmE: birA: slrR: yrkP: sigO: padR: bltR: malR: sigM: yfhP: zur: ccpA: citT: gerE: codY: yfmP: ccpN: adaA: sinR: rplJ: sigL: walR: araR: iolR: salA: glcT: ycbG: cggR; gltC: liaR: glnL; xre: fruR: cysL; alsR: glpP: frlR: yetL: sigY: mtrB: sigD: sigF: rocR: sigV: treR: rsoA: hprT: sigA: sigE: dnaA: mhqR: splA: arsR: ansR: hutP: mdxR: sacY: lmrA
pucL,yxdJ: yfmP: dnaA: ccpN: sigH: alsR: mhqR: frlR: sigF: fruR: birA: licT: ccpA: padR: xre: glnL: mtrB: malR: mtlR: hprT: sigA: iolR: sigY: yrkP: adaA: gerE: comK: nrdR: citT: bltR: mdxR: rsoA: hutP: slrR: tilS: sigO: rsfA,yxdJ: yfmP: dnaA: ccpN: sigH: alsR: mhqR: frlR: sigF: fruR: birA: licT: ccpA: padR: xre: glnL: mtrB: malR: mtlR: hprT: sigA: iolR: sigY: yrkP: adaA: gerE: comK: nrdR: citT: bltR: mdxR: rsoA: hutP: slrR: tilS: sigO: rsfA; sigM: sacY: sigV: arsR: splA: licR: sigE; ansR: sigD: gltC; codY: resD: bkdR: purR: lmrA: ycbG; ahrC: deoR: sigL; zur: treR; ywbI: walR; comA: yfhP: araR: cysL: glcT; abh: abrB: acoR: aseR: azlB: bceR: bmrR: ccpC: cggR: citB: citR: csoR: cssR: ctsR: cymR: czrA: degU: desR: exuR: fadR: fnr: fur: gabR: ganR: glcR: glnR: glpP: gltR: gmuR: gntR: gutR: hrcA: hxlR: immR: kdgR: kipR: levR: lexA: liaR: manR: mgsR: mntR: mta: nadR: natR: nhaX: nsrR: nusA: ohrR: perR: phoP: pucR: pyrR: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: sacT: salA: sdpR: sigB: sigG: sigI: sigW: sigX: sinR: spo0A: spoVT: tnrA: tyrZ: xpf: xylR: yclJ: ycnK: ydfI: yetL: yfiR: ylaC: yodB: ytrA: ywcC
