gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
ycsN,335.5143,372.1539,379.3776,291.3624,337.3132,333.1812,304.118,372.1844,412.3066,459.7522,343.5712,355.4233,287.3285,280.621,465.8934,357.2675,377.7757,297.5283,438.5787,519.2123
ycxA,117.1112,109.6982,89.6332,97.4698,115.7243,150.3409,93.8304,97.2622,112.7202,106.1166,158.9801,104.3731,79.5672,94.5399,108.6923,144.754,111.7706,74.0345,85.7244,98.299
ycxB,57.7613,55.6272,61.2011,98.2304,135.6718,55.3005,47.3884,65.0,132.0975,135.4233,53.484,42.4942,52.574,91.9786,153.4399,52.592,41.7586,45.7592,106.9528,158.5565
ycxC,12.4097,9.782,18.0412,35.5208,25.1946,15.7062,6.4534,15.8866,17.6222,16.8266,16.3658,10.2029,22.5352,48.0024,16.964,16.3605,7.6927,29.5988,20.8861,12.2183
ycxD,34.5429,34.4018,35.6518,49.4444,39.725,43.5094,31.5678,27.1685,40.0018,36.0207,43.0419,25.2969,35.1235,61.9943,30.043,43.2269,30.1957,40.453,34.7521,32.7233
yczC,145.271,113.0015,191.871,153.067,198.1749,128.8101,119.0725,198.0469,206.3182,172.934,117.7384,144.7057,170.9529,165.221,182.9666,118.4808,136.5312,146.5218,160.9074,180.4148
yczE,192.4512,93.3584,89.2182,91.4262,96.1401,150.9131,92.24,112.8472,87.0541,62.5478,162.5697,85.3819,87.2043,104.3386,84.7205,179.3265,96.0101,80.551,82.6606,61.2874
yczF,7.8176,5.7069,4.845,52.5326,29.3058,4.0882,11.1667,7.9054,3.3881,6.1889,5.0161,8.6311,25.9958,63.9823,6.4065,9.759,7.3473,31.5532,9.4992,8.9446
yczG,650.1252,712.9034,459.2633,601.994,1211.6786,610.8155,508.0428,559.0,1064.1491,892.6918,644.8188,547.458,351.9131,505.6351,1243.4533,625.8797,590.3003,320.6499,967.3798,1278.2803
yczH,69.5941,44.4539,40.0991,42.9662,41.5049,57.7189,50.7398,46.1842,65.9778,58.2515,64.4707,63.0297,46.4048,44.855,37.4276,67.3794,44.9675,37.6602,51.7956,38.7078
yczI,528.1092,480.2515,574.9641,437.0972,529.7354,527.5768,502.7429,655.1524,660.422,592.95,564.0354,575.415,427.1608,391.8632,640.5909,554.8371,578.7443,432.6333,572.6392,594.6374
yczJ,400.3022,428.9109,437.8954,345.818,440.1605,404.1565,390.2136,481.4062,443.9758,465.1329,429.9676,388.3768,343.1582,320.9069,540.2577,417.162,436.0908,338.942,457.6434,490.2993
