gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
yrzK,62.3447,62.9764,26.7327,34.1001,28.8228,118.4129,18.2574,54.4017,56.3776,39.3421,23.4588,20.0867,43.7896,83.9955,56.0049,47.6224,32.3427,50.9464,23.2883,37.1757,89.2313,64.4999,38.1542,27.7496,30.8307,32.2565,44.8686,63.5532
yrzL,793.9303,758.0268,620.3825,502.3064,585.5373,283.3927,552.7575,754.6168,735.5513,611.2921,797.2197,827.6177,591.5741,320.8249,712.3608,670.0978,468.3139,408.5667,722.3115,512.4138,276.3991,701.5144,703.4033,408.7615,726.635,645.3771,508.3097,362.039
yrzO,5.1652,4.3991,3.7347,21.0568,9.5836,37.9291,0.0,4.727,3.8256,0.0,8.7054,0.0,3.25,14.4209,3.0933,11.643,6.6795,24.9887,3.9507,0.0,30.566,4.1032,3.2363,14.1226,2.9289,3.0644,26.0487,23.8324
yrzQ,1.8783,0.0,2.0371,35.3401,25.3903,104.9569,17.2012,1.7189,4.1734,22.1591,15.1949,13.8781,17.7273,86.5255,5.0618,5.4435,20.0384,74.6073,10.7746,33.5022,104.4802,2.9842,7.061,20.5419,12.7807,10.0288,60.7086,66.442
yrzR,9.0391,18.1462,47.6176,65.6001,46.2066,107.543,101.9977,15.3627,28.6922,68.5547,50.9266,42.9353,143.8128,337.0889,24.3597,32.434,48.8437,56.2245,53.3344,274.9533,132.198,19.4904,43.69,40.014,43.9338,73.5449,66.6019,146.9668
yrzS,91.2774,74.0622,66.8904,62.6628,69.6394,37.7773,69.1899,72.2451,71.2594,52.3881,73.5932,60.3801,54.7165,51.657,85.3195,54.8139,41.8714,55.5914,56.607,64.6292,66.424,64.6718,49.8486,39.3465,60.8516,55.9819,67.0128,73.0387
yrzT,24.6171,40.4342,22.8851,43.0097,47.5393,69.914,64.413,24.1378,41.0237,29.0426,39.1188,43.8489,26.5532,42.9559,36.3297,30.5761,8.527,41.6384,52.4518,35.2842,71.7976,30.7306,11.568,28.8461,29.9124,54.7675,50.7875,48.679
ysaA,832.1299,882.6489,576.6058,540.0677,831.6478,337.3748,718.0675,769.0665,803.4689,704.1667,956.1139,803.9457,681.0817,401.1336,826.0156,751.5748,430.2505,464.6408,935.8154,657.6245,312.3588,826.3061,819.2663,374.5822,858.3413,869.8586,540.8993,402.0166
ysbA,18.5525,173.0906,1175.5971,314.6955,446.1538,184.8692,6.4358,13.8915,176.7594,1062.551,963.0668,624.1365,372.4905,32.1773,21.7162,255.2631,1220.2997,141.2892,611.471,180.5015,59.8844,16.9712,321.7802,1172.847,306.5202,479.2926,224.2415,25.5077
ysbB,18.1672,166.5585,1086.416,309.6527,459.1625,217.622,13.0492,19.8859,200.2516,1058.6314,925.0546,635.9696,380.5869,47.2409,16.6398,311.7797,1064.8009,135.5102,619.1694,192.6014,69.564,20.6577,338.8066,963.5823,296.6287,477.7248,267.02,49.3085
yscB,81.8597,136.1006,137.6358,93.9612,90.6321,154.47,17.0382,94.9876,140.5509,174.6682,95.4542,54.6244,32.5309,69.7125,98.1644,127.5132,104.4658,90.0564,72.3483,25.7617,105.9235,84.6316,90.923,89.5992,58.6339,49.4947,88.0786,56.0232
ysdA,161.6131,255.7336,126.4824,93.298,106.606,130.2542,94.6066,167.2299,194.8518,139.75,120.715,124.6715,131.7336,94.8576,154.2522,173.8686,93.5127,103.8125,134.8504,115.6755,105.4188,183.0953,157.0682,95.4059,106.2221,119.3062,106.7209,96.7421
ysdB,502.1669,1065.452,412.5863,270.6353,469.5436,223.3801,230.3778,519.6066,684.0565,550.0191,463.1543,423.017,387.0236,186.261,495.8712,801.4234,360.9977,252.9988,495.7972,336.1725,151.5701,525.7149,672.9518,327.1552,384.2025,448.0063,274.1897,171.254
ysdC,165.971,206.4897,175.0571,117.4816,119.4507,123.892,142.4326,137.8919,192.2534,182.0718,147.9823,145.4899,116.3538,128.5931,147.2475,222.7514,144.5867,121.5499,134.1054,118.0905,117.2654,145.8121,194.6068,142.1101,132.044,157.8574,103.6193,129.2131
