gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h
ywhK,8.1753,31.332,47.9907,40.2729,91.1675,7.3127,12.2954,47.8874,31.4099,35.2036,4.9457,23.9397,57.5426,55.5894,45.454,5.327,24.4958,42.4564,40.8402,69.6589
ywhL,16.7913,73.6203,89.0972,80.0333,155.7556,13.0021,20.3922,84.1181,107.9256,124.7322,12.8714,40.6881,101.6394,144.6006,155.7595,9.307,41.5165,94.9505,153.3387,171.8629
ywiB,343.3133,246.9613,182.6813,255.9709,131.6619,341.5773,260.4545,315.0018,291.4399,210.0004,326.6084,154.7023,185.856,305.6678,229.361,338.9284,147.4806,290.5159,301.8941,184.4112
ywiC,24.195,23.1552,61.5507,41.3463,137.8401,18.7456,15.4375,25.4198,22.8989,20.475,17.9635,36.0692,78.3855,31.6056,20.7295,26.214,43.3093,33.6826,31.8695,76.2518
ywiE,283.8596,214.8692,44.2281,31.6119,108.2202,300.7352,235.8683,12.0103,34.1274,113.6529,299.909,230.062,56.5769,18.9255,13.976,331.6137,222.9545,34.0947,14.5328,61.5981
ywjA,318.0173,239.7999,177.3633,202.6245,150.7144,277.1983,253.3984,244.4769,235.6144,165.0732,241.1761,198.9928,162.755,236.0541,164.2682,244.2054,195.7547,198.1901,196.8858,164.6794
ywjB,283.5525,338.5573,232.8006,292.1547,162.9024,303.2517,391.6714,340.0183,298.7755,192.9946,270.9917,272.5227,193.7166,318.0423,190.053,235.2324,277.6097,280.3728,256.3565,194.5334
ywjC,1561.6273,848.0678,41.8645,42.6071,88.3217,1330.8125,1249.2857,31.2247,110.7197,166.286,1261.6099,901.0689,66.5979,55.2229,27.3356,1429.6601,878.1868,84.9708,29.0947,59.3318
ywjG,171.1093,127.753,71.9395,88.7544,92.8929,129.2797,143.4483,104.705,68.4334,65.0001,130.7685,88.9062,82.7211,92.637,71.4809,129.0054,76.1862,85.2416,89.6064,67.939
ywjH,1549.9654,2303.9515,1392.8992,1562.0671,675.871,1810.0049,2621.514,2155.6061,2016.8191,1419.0166,1889.8652,1922.937,1331.9379,1899.0049,1350.389,2000.8509,1780.1086,1987.044,1898.356,1090.245
