gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
ytpQ,479.8287,390.3057,250.071,254.527,172.9801,324.7688,454.6211,415.1026,365.4712,335.2233,288.1348,229.0128,441.1922,329.8864,241.9169,259.6845,278.4555,200.0021,419.6557,309.1511,313.7002,309.8216,211.6416,234.056
ytpR,519.5277,490.7638,270.1946,264.1655,175.8608,325.0345,477.7105,546.8688,368.2129,338.1926,257.1688,221.0255,533.9635,392.4359,227.8278,323.4094,225.3104,185.2119,481.7914,379.5852,336.5066,325.8549,222.2701,197.5812
ytqA,122.2483,126.8185,79.1925,81.789,99.9453,59.1657,120.5249,135.2322,89.2641,89.5631,66.1673,81.6144,131.2501,96.0356,77.2014,79.5521,58.4732,82.0645,143.3188,93.2761,77.0405,63.9818,86.3941,67.2916
ytqB,123.4451,119.9706,78.147,82.2293,107.7102,64.5265,100.761,140.5,86.5719,91.5954,61.6001,83.7153,117.5046,95.3624,78.0213,86.0644,64.2554,85.0205,123.8754,89.2258,78.9456,76.5621,85.9791,72.6788
ytrA,13.701,38.3165,49.2604,31.1022,81.6914,33.2206,21.0263,26.0496,35.0874,22.7241,26.1985,40.951,31.6913,28.1456,43.8531,27.5041,20.3954,66.4519,23.7164,27.5983,21.4638,16.2809,52.4952,38.326
ytrB,17.2961,34.2625,43.2525,32.5216,69.7141,40.0383,25.6957,39.599,31.3751,29.9587,27.4198,45.2807,25.0685,38.5723,48.4781,33.3315,33.0162,53.2454,28.0994,38.817,30.7087,28.8657,41.7039,40.5613
ytrC,14.1199,34.0552,41.8281,29.762,67.7545,34.2194,19.5351,38.8222,29.4661,30.1606,30.5836,44.8846,25.7228,43.3658,48.7381,30.5488,21.2825,54.257,19.5948,37.3168,27.7758,24.813,41.1137,46.9405
ytrD,15.2214,41.7922,47.9368,36.4865,97.7996,32.7931,25.911,45.4601,35.6334,34.8868,32.5399,57.1528,27.9187,49.4199,65.8403,36.3561,22.0436,79.0591,34.547,45.9778,34.5001,31.3581,51.0805,56.3401
ytrE,25.9394,64.1341,57.9761,48.4373,80.5795,43.2254,43.9287,53.7931,46.4689,48.0349,38.6639,66.3859,49.5544,64.9522,65.034,35.5563,29.3866,75.6772,43.8574,52.9191,43.9338,44.6975,58.5484,59.4442
ytrF,46.8699,82.6594,59.0674,63.0092,91.2484,61.0505,65.5521,87.2368,62.7267,65.3255,59.7942,61.1156,63.0297,82.5382,70.6412,62.054,44.0626,82.7031,70.7393,82.9042,58.8733,55.369,62.0358,71.4065
