Feature.ID	gene name	HS_0.norm	HS_15.norm	HS_30.norm	HS_60.norm	HS_90.norm	HS_120.norm	R_0.norm	R_15.norm	R_30.norm	R_60.norm	R_90.norm	R_120.norm
YNL087W	TCB2	1411.89	285.72	346.13	554.03	636.12	653.92	1294.09	1129.96	1021.51	944.13	902.1	935.31
YML072C	TCB3	1443.26	2233.88	1920.28	1615.85	1753.18	1708.82	1203.21	1122.65	1193.65	1203.52	1244.51	1411.17
YHR003C	TCD1	504.86	261.31	257.22	276.59	258.97	261.89	507.41	398.27	464.32	429.15	338.53	315.22
YKL027W	TCD2	561.9	336.56	426.73	395.98	349.4	317.2	671.19	549	544.73	531.19	489.85	472.4
YBR044C	TCM62	179.69	301.99	335.46	256.42	285.69	277.35	218.68	213.75	242.35	240.32	240.56	219.36
YPL180W	TCO89	208.22	250.13	233.52	175.71	195.25	186.25	166.61	181.78	183.46	218.39	194	197.77
YDR212W	TCP1	1786.96	909.01	889.02	844.92	905.36	802.76	2132.84	1590.35	1781.41	1822.45	1761.52	1666.8
YMR291W	TDA1	71.31	432.13	654.32	329.56	350.43	305	73.84	86.78	71.35	99.18	127.07	139.91
YGR205W	TDA10	105.53	641.59	528.67	284.16	227.11	183.81	102.24	113.27	104.19	116.35	125.13	115.73
YHR159W	TDA11	77.01	306.05	206.25	191.68	191.14	203.33	77.63	102.31	116.65	98.23	108.64	114
YER071C	TDA2	249.58	214.54	267.89	184.96	205.53	253.76	291.57	285.92	317.1	360.48	333.68	349.77
YHR009C	TDA3	725.91	1192.69	1289.67	1178.68	1292.79	1284.26	734.61	749.05	697.62	865.93	918.59	902.49
YJR116W	TDA4	172.56	313.17	229.96	237.08	289.8	269.21	117.39	150.72	190.26	185.01	203.7	200.36
YLR426W	TDA5	246.72	221.66	244.18	263.98	314.46	300.93	164.72	247.55	224.23	279.42	320.1	343.72
YPR157W	TDA6	67.03	185.06	208.62	118.54	107.9	117.12	66.27	72.16	62.29	82.01	62.08	56.14
YNL176C	TDA7	315.18	299.95	365.09	489.29	424.42	376.57	276.43	333.42	271.8	240.32	250.26	259.09
YAL064C-A	TDA8	15.69	28.47	48.6	45.4	41.11	39.04	18.93	21.92	35.11	24.8	23.28	22.45
YML081W	TDA9	733.04	246.06	304.64	411.95	401.81	396.09	753.55	665.01	582.1	547.4	598.49	588.99
YJL052W	TDH1	98.4	4592.83	7780.71	4846.71	3642	4164.28	100.35	91.35	70.21	91.55	97	95.86
YJR009C	TDH2	6296.44	8780.98	8406.58	4708.83	3742.71	3880.43	4657.6	3479.41	2677.22	2275.44	2162.13	2030.39
YGR192C	TDH3	55837.95	103438.86	90955.13	63491.45	59688.16	49082.4	38763.14	46026.09	48121.92	46770.47	49496.22	44699.63
YBR223C	TDP1	82.72	173.87	169.51	167.3	186.01	166.73	56.8	105.96	89.47	89.64	89.24	99.32
YOR337W	TEA1	362.24	73.21	112.61	216.9	211.7	229.36	241.4	304.19	280.86	226.97	245.41	204.68
YBR083W	TEC1	226.76	221.66	214.55	185.8	144.9	122.81	216.79	327.94	296.71	203.13	162.96	157.18
YIL039W	TED1	761.56	414.85	398.28	519.56	606.32	588.86	662.67	592.84	590.03	597.95	590.73	560.49
YPR080W	TEF1	3427.03	661.93	753.89	1317.4	1451.05	1198.04	3127.78	2991.61	2676.08	2191.52	2079.68	1830.03
YBR118W	TEF2	4023.16	3065.62	2574.6	2327.93	2714.03	2174.05	3267.89	3436.47	3639.83	3579.1	3458.05	3160.88
YKL081W	TEF4	8214.61	1221.16	926.95	1699.08	1551.76	1211.06	4717.24	6300.2	5466.55	4348.7	3933.35	3635.01
YBL088C	TEL1	490.59	372.14	542.9	545.62	589.87	610	486.59	428.42	468.85	485.41	485	548.4
YGR099W	TEL2	328.01	325.37	264.34	279.12	338.1	417.24	380.56	368.13	378.25	374.79	350.17	366.18
YML064C	TEM1	181.12	140.32	142.24	110.13	119.21	95.16	145.79	179.04	151.75	162.12	129.01	107.95
YLR010C	TEN1	102.68	119.98	118.54	142.08	191.14	238.31	106.03	95.91	142.69	145.91	145.5	170.13
YNL128W	TEP1	27.1	87.44	96.01	125.27	131.54	138.27	37.87	25.58	31.71	47.68	36.86	60.45
YJR019C	TES1	121.22	384.35	311.75	288.36	345.29	342.41	99.4	131.54	121.18	152.59	189.15	196.04
YNL253W	TEX1	164.01	190.14	151.73	157.21	146.95	191.95	172.29	204.62	203.85	247	202.73	200.36
YKL028W	TFA1	567.61	318.25	325.97	290.89	290.83	260.27	601.13	494.19	494.9	493.04	465.6	504.36
YKR062W	TFA2	300.92	410.78	340.2	268.19	257.94	279.79	296.31	253.94	272.93	263.21	258.99	311.77
YDR311W	TFB1	260.98	226.74	264.34	275.75	250.75	252.13	313.35	284.09	220.84	228.88	235.71	206.41
YPL122C	TFB2	298.06	116.93	118.54	136.2	117.15	101.67	236.67	234.76	178.93	227.93	211.46	190
YDR460W	TFB3	144.04	157.6	170.69	146.28	136.68	129.32	167.56	166.25	121.18	142.1	151.32	148.54
YPR056W	TFB4	305.2	156.59	178.99	205.13	205.53	234.24	379.61	292.31	309.17	272.75	270.63	275.5
YDR079C-A	TFB5	82.72	63.04	101.94	84.91	76.05	77.27	156.2	109.62	100.79	103	85.36	79.45
YOR352W	TFB6	88.42	230.81	207.44	143.76	163.4	155.35	99.4	93.17	70.21	101.09	89.24	129.54
YBR123C	TFC1	165.43	189.12	190.84	183.28	190.12	213.09	183.65	156.2	158.55	176.43	187.21	145.09
YAL001C	TFC3	263.84	491.11	446.88	353.1	341.18	347.29	317.13	320.63	305.77	359.53	347.26	309.18
YGR047C	TFC4	282.38	246.06	206.25	253.05	256.91	272.47	437.36	313.32	334.09	339.5	322.04	298.82
YDR362C	TFC6	255.28	261.31	314.12	360.67	376.12	414.8	290.63	264.91	250.28	282.28	334.65	311.77
YOR110W	TFC7	191.1	319.27	324.79	279.12	195.25	211.47	182.71	168.99	211.78	209.81	198.85	230.59
YPL007C	TFC8	209.64	242	163.58	186.64	196.28	199.27	211.11	243.9	258.21	250.81	243.47	252.18
YGR186W	TFG1	791.51	919.18	731.37	599.43	541.57	499.39	1008.2	777.36	875.42	954.62	873.97	780.72
YGR005C	TFG2	430.7	446.37	373.39	298.45	293.91	273.28	534.87	401.93	372.59	357.62	342.41	350.63
YLR178C	TFS1	105.53	7117.52	7806.79	4056.44	3504.3	3467.25	83.31	95	86.07	143.05	168.78	186.54
YKL140W	TGL1	298.06	631.43	605.72	474.16	450.11	475.8	311.45	329.76	351.07	334.74	321.07	313.5
YDR058C	TGL2	68.46	298.94	299.9	243.81	268.22	305.81	102.24	84.95	116.65	119.21	144.53	137.32
YMR313C	TGL3	376.5	506.36	421.99	329.56	365.84	408.29	280.21	348.95	343.15	394.82	338.53	368.77
YKR089C	TGL4	338	413.83	386.43	381.68	384.34	383.08	260.33	333.42	261.61	309.94	343.38	339.41
YOR081C	TGL5	345.13	381.3	373.39	294.25	355.57	348.11	224.36	324.28	235.56	263.21	240.56	248.72
YPL157W	TGS1	367.95	95.58	99.57	127.79	112.01	131.76	428.84	357.17	292.18	189.78	134.83	155.45
YGR024C	THG1	677.42	386.38	414.88	423.72	456.28	507.52	760.17	643.08	533.4	559.8	519.92	520.77
YJR156C	THI11	15.69	35.59	37.93	36.99	26.72	41.48	15.15	11.88	10.19	18.12	9.7	18.14
YNL332W	THI12	9.98	15.25	27.26	62.21	98.65	114.68	5.68	5.48	3.4	7.63	6.79	12.95
YDL244W	THI13	4.28	11.18	18.97	31.95	17.47	31.72	6.63	2.74	9.06	6.68	14.55	9.5
