,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T6A,4140@T8A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4140@T6B,4140@T8B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T5A,4146@T7A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,4146@T5B,4146@T7B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T6A,425@T8A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,425@T6B,425@T8B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T7A,HR3@T9A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B,HR3@T7B,HR3@T9B
ycbM,3.3,0.0,5.2,0.0,6.5,0.0,9.7,4.3,0.0,98.6,49.1,0.0,0.0,0.0,256.1,225.4,202.1,119.4,122.0,113.6,88.6,191.4,328.9,117.0,124.0,137.2,76.3,67.7,0.0,0.0,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4,177.0,0.0,54.8,73.5,4.5,176.3,217.4,70.5,53.0,77.4,0.0,8.1,0.0
ybyB,9155.9,4468.5,8961.1,2124.1,2184.5,513.4,459.5,5980.6,1170.1,623.3,1195.9,644.3,2154.8,819.3,509.6,695.0,608.3,1049.2,1537.1,3834.8,1067.4,1722.6,1115.5,921.4,1674.7,2029.6,10466.5,688.3,1590.1,1419.7,3821.2,964.8,2164.1,2398.1,2551.5,2206.4,1426.2,2334.9,2401.2,1915.8,3110.3,2282.7,37405.0,9525.6,53070.0,8592.6,6333.9,14185.7,2027.4,47007.3,3292.8,38324.9,17825.2,8567.4,19850.9,4482.6
yitZ,156.4,0.0,192.5,122.7,48.3,0.0,0.0,203.6,28.6,102.1,291.5,0.0,67.7,119.2,164.0,124.1,153.4,62.6,96.2,243.4,444.1,200.6,61.8,166.1,71.0,109.9,281.8,591.3,42.6,0.0,0.0,93.4,0.0,0.0,25.8,38.4,0.0,0.0,0.0,0.0,400.5,137.5,238.9,285.2,237.9,259.8,484.3,322.5,439.2,381.1,472.8,821.8,234.4,373.4,271.9,1326.1
ykzM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.5,19.9,0.0,0.0,0.0,0.0,408.8,1265.0,1027.6,699.2,744.5,101.2,0.0,531.5,742.2,746.6,800.4,569.6,64.8,83.9,5.6,328.4,1291.6,609.4,2190.5,617.5,156.6,313.5,1241.7,532.6,478.9,2232.9,2246.5,0.0,82.5,2209.7,1497.6,410.4,95.1,285.3,0.0,100.0,1617.8,711.7,51.5,226.1,121.3,120.4
yqfO,6924.4,8673.2,6458.1,3369.9,2303.3,6044.1,1747.7,6725.6,8567.4,3710.0,2785.1,5372.6,3032.4,2434.4,2331.9,1734.0,3794.1,2768.6,3087.1,1801.6,1224.8,2004.5,1128.5,1893.4,2465.1,2702.4,2301.1,1454.5,2666.4,5500.8,4982.3,5569.0,4668.8,4123.6,826.6,5737.0,4259.6,5717.2,5096.1,2924.0,3169.0,1276.2,4925.9,2876.6,3567.2,2674.8,2338.9,1508.3,3165.8,5130.5,3038.4,2917.5,2465.1,2766.5,1627.6,1901.3
glmS,188327.5,264009.5,348154.5,100459.0,79184.4,161632.9,210218.8,136156.7,289827.6,117789.6,96324.3,159963.7,90670.2,206159.4,22962.7,16790.1,31939.6,23865.2,13492.6,9450.9,20057.9,20967.9,11994.5,30100.0,31820.6,15897.9,8495.1,28522.7,290803.1,528992.8,335451.0,211316.6,131074.2,91091.8,237439.7,360786.3,470479.6,326563.4,329984.4,82488.1,86398.3,852449.6,12307.3,53741.9,63426.5,32555.4,29650.6,18571.9,93485.9,14399.4,64179.2,45305.3,21881.2,25450.7,12790.1,80839.8
glcD,871.1,957.9,1694.7,1008.6,2490.9,767.4,1283.4,646.2,546.1,551.7,600.4,964.0,1529.8,1275.9,477.0,554.8,509.8,514.9,671.3,1230.8,2486.6,542.6,475.2,495.4,341.6,575.7,826.8,3218.8,982.5,4837.7,1940.8,2949.2,3265.0,4026.9,6613.7,2866.6,6850.5,4724.6,4799.3,3483.9,5921.6,7664.6,379.4,844.9,831.4,977.0,757.1,847.1,3146.9,283.5,875.1,691.9,609.3,788.2,445.4,6833.4
yxbF,183.3,128.5,301.3,331.2,206.9,53.5,355.6,273.7,73.2,26.9,64.9,102.6,240.5,268.9,59.1,110.4,102.3,55.2,132.3,51.3,53.6,40.2,57.7,64.6,19.8,148.3,121.3,76.0,86.2,37.3,272.6,0.0,0.0,371.1,348.5,352.0,69.0,108.2,303.2,262.9,469.8,152.9,140.8,273.0,422.4,102.4,340.9,191.4,0.0,231.6,200.9,90.9,392.1,134.4,63.9,59.0
nrdR,10215.0,7897.1,5435.8,3852.6,2847.9,4442.2,4165.7,6556.7,8351.7,3893.3,2124.9,4575.8,3357.9,2921.7,5778.6,7064.9,6720.4,3492.2,3310.0,2801.8,2411.7,8344.2,9737.5,6809.6,4777.5,4436.0,2941.7,3003.7,9185.2,11267.6,12250.2,3963.5,6904.7,5685.6,4031.1,10484.5,17156.5,14881.4,9018.6,3856.1,7041.5,4613.5,8334.0,4494.1,2074.9,5859.7,1627.1,4754.9,15874.0,7507.8,3335.5,3887.5,3338.2,3837.3,3996.9,5630.4
yodH,1966.4,298.5,1258.7,141.4,5357.9,0.0,60527.9,474.7,416.9,67.6,53.3,84.0,2325.0,35432.7,113.3,145.9,217.7,275.6,408.0,225.7,88569.6,139.4,82.5,83.8,363.1,283.4,531.6,59987.9,11063.3,9348.4,3927.4,477.7,501.2,177.9,6501.7,243.3,707.8,1337.9,0.0,259.0,150.5,57665.2,251.5,203.6,145.0,105.3,1691.1,10652.5,94026.3,240.7,278.7,86.4,111.7,2375.1,15901.5,93528.7
