,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B
ycnE,993.6,710.0,825.0,2982.7,4636.8,750.5,807.0,1006.6,1514.7,1223.9,1799.0,1395.1,1249.2,711.1,950.5,2128.5,1901.5,1047.8,1181.6,864.9,1671.5,2655.8,714.1,125.2,609.6,3227.3,3366.1,635.6,715.7,1497.0,1623.2,877.5,558.6,723.9,1076.1,976.3,553.2,503.5,160.6,408.6
yabP,1656.1,800.9,2834.6,17535.4,17082.2,5355.6,36289.8,5311.1,10803.6,29196.4,2149.7,1089.7,1212.1,12316.5,16273.1,2622.6,922.4,671.2,4365.7,14899.5,4292.8,7317.5,6252.1,6262.7,57640.1,9819.5,10667.9,2169.8,22501.9,30794.2,1168.0,565.8,3433.3,3439.8,2480.8,777.6,523.3,3793.5,4738.8,2600.0
yknU,7.3,170.0,0.0,0.0,1.6,0.0,0.0,152.8,570.3,0.0,580.4,402.8,429.5,598.3,1824.6,869.8,595.4,586.6,456.2,1146.6,9.7,0.0,662.5,116.7,0.0,0.0,36.9,5.2,289.0,90.9,132.1,76.4,247.6,1699.4,3091.2,82.0,135.1,790.6,832.4,1712.0
uxaC,8.7,205.1,218.6,197.3,71.5,0.0,18.9,119.9,165.6,100.8,201.6,477.2,613.8,523.8,408.6,327.3,410.6,583.9,518.7,331.0,44.7,0.0,0.0,9.6,31.6,45.6,0.0,8.9,0.0,15.0,141.9,104.6,113.0,124.0,245.8,79.0,42.0,88.6,30.1,136.9
yobU,0.0,0.0,0.0,0.0,0.0,7.3,0.0,21.7,58.8,0.0,86.7,237.7,188.1,169.5,112.1,213.5,269.1,410.5,307.1,174.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2,101.7,94.3,33.6,160.1,16.9,39.6,4.4,20.4
ypuB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2,0.0,22.4,83.8,220.1,54.1,22.0,0.0,36.5,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,158.4,0.0,112.1,0.0,13.5,473.3
ldlU,88210.9,141521.9,108672.6,240962.7,160395.6,116592.4,161119.1,94614.3,79704.3,227956.3,137956.2,86034.1,106265.9,90447.1,58607.1,155139.2,90910.0,131892.8,112044.6,66302.0,188135.1,364212.2,144136.5,67550.1,97965.7,91016.8,525130.3,85179.7,162142.6,14107.0,78758.1,189879.5,106113.2,86797.7,18694.7,62013.9,106708.5,87874.7,80951.5,69544.2
phoH,31859.5,52127.0,67188.3,42210.0,46975.3,22836.0,67638.8,23671.5,32474.0,53236.9,7230.3,15555.9,19498.4,20588.1,15120.1,7069.7,14130.6,21752.6,20050.7,15769.8,37331.8,75994.9,107699.2,81909.4,128898.5,39506.0,109460.7,129545.6,135398.1,82661.4,9553.9,9662.5,11422.8,8873.9,9473.9,9225.7,10444.0,11289.2,10176.7,9861.5
yvbX,98.0,0.0,0.0,0.0,0.0,0.0,113.6,321.3,90.1,0.0,893.4,143.5,110.2,22.2,12.1,1365.9,285.4,190.2,115.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.5,0.0,558.8,478.3,361.1,356.2,119.1,653.9,516.9,526.1,590.8,58.2
mrpR,5.7,0.0,0.0,0.0,0.0,0.0,0.0,197.1,0.0,0.0,332.7,310.9,582.1,600.6,559.4,335.5,211.9,522.4,768.0,579.4,0.0,0.0,0.0,4.9,0.0,6.0,0.0,0.0,0.0,65.0,795.8,2178.2,419.5,475.8,187.2,710.5,1311.8,322.0,446.8,326.2
rnr,27675.2,20741.1,25577.6,29727.9,40434.3,19917.1,22309.2,10501.4,17500.4,23032.4,3997.6,5130.0,6889.1,9068.8,8108.2,3322.8,4083.2,5586.1,6462.4,7564.9,23671.9,34881.3,46644.8,28164.9,40891.8,18513.6,62967.7,51367.2,53402.8,39888.8,9499.1,5819.4,9758.4,10904.6,16673.9,7902.9,5318.3,8204.3,12334.3,18648.0
gmk,17286.4,31675.7,28465.4,38813.4,32769.7,12248.3,40079.4,12516.3,19328.2,48563.8,5094.2,4175.1,6122.2,6028.7,6191.4,4480.1,3132.9,4594.4,4895.8,5158.0,18371.2,33697.3,28257.7,36359.2,44404.2,9669.9,39717.7,34758.2,42638.1,21370.1,3027.6,3676.2,1918.7,1909.7,1591.1,3349.3,2904.9,2321.9,2367.8,2791.6
yorX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,38.5,0.0,25.4,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8,9.1,0.0,0.0,23.1,0.0,0.0,0.0,0.0
ispE,8126.0,4682.4,9570.3,3930.2,5166.6,4012.6,4440.5,3062.2,3563.8,5534.1,2254.1,2147.7,1843.6,1375.8,965.0,1725.6,1840.0,1805.5,966.0,1031.7,4238.2,5616.8,3707.2,3749.1,2742.7,5616.2,6945.6,5971.8,3084.2,2070.0,2782.6,3442.1,632.9,870.0,1372.7,1280.7,4585.6,1425.7,957.5,754.7
yteS,13.4,34.2,46.0,0.0,23.6,7.0,0.0,17.3,19.4,0.0,0.0,20.8,67.0,77.9,219.3,7.7,12.1,132.4,257.0,120.5,0.0,0.0,25.7,34.5,25.4,0.0,27.6,0.0,0.0,16.9,9.4,0.0,81.4,23.8,160.9,7.2,7.1,86.4,185.6,103.6
degU,77655.4,88340.1,71017.1,42206.9,34814.0,29818.5,99040.6,42084.8,32272.2,78458.8,43893.7,83155.8,111295.0,80597.3,36565.4,48059.9,154363.7,93027.9,84620.4,57298.4,131547.4,188100.1,171473.8,178818.7,105350.9,108545.2,203337.3,198351.3,188060.8,41537.7,22394.5,53686.5,25235.5,11064.2,3287.1,20131.6,33714.5,22028.3,9446.5,2080.0
yvaF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4,192.5,0.0,466.7,757.2,265.1,166.6,216.1,577.6,890.6,781.7,316.8,457.1,0.0,0.0,0.0,8.0,0.0,0.0,0.0,205.8,0.0,0.0,816.0,302.0,87.9,0.0,97.7,921.9,167.2,64.6,111.7,38.0
rpsU,602825.2,590834.2,364223.6,407539.0,378108.9,803476.5,847467.3,262137.9,263739.7,485751.0,164446.6,138508.0,223348.3,188209.5,115720.9,175847.0,152549.1,315964.3,210071.2,109114.6,888871.1,695995.0,966210.7,455801.7,633704.5,515854.8,908425.5,658189.9,810332.8,208776.8,246809.2,221721.9,213354.0,202031.7,104574.9,184962.8,290297.8,234012.9,168436.7,137715.3
yutD,7218.8,9449.0,6640.3,3613.3,4894.4,5008.0,4528.8,1834.4,2095.4,6987.5,1875.9,2269.1,1888.9,1351.9,1114.1,2150.2,1802.9,1548.6,1634.1,806.3,3465.1,2852.9,2790.8,1772.9,1676.2,3625.2,3785.5,1195.0,1321.4,2567.0,728.8,958.2,428.1,105.6,172.7,1969.7,991.6,169.9,126.0,150.3
yckA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.1,0.0,11.4,853.4,331.1,174.3,112.3,125.6,509.2,310.3,146.0,119.7,181.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.2,188.2,388.4,361.0,274.1,1430.4,427.8,280.9,116.6,89.5
yqbJ,7.0,0.0,0.0,0.0,8.5,0.0,0.0,37.9,0.0,0.0,61.4,22.7,0.0,49.2,12.7,42.9,9.6,0.0,16.4,49.8,0.0,0.0,156.9,0.0,42.3,21.9,492.4,19.9,491.3,16.2,0.0,0.0,0.0,40.6,37.1,10.1,105.7,0.0,0.0,0.0
bstB,966.0,1380.6,2017.7,1131.0,1444.5,1434.1,1889.6,4386.0,3180.4,2365.1,12125.8,29966.0,25152.5,19930.3,20780.9,11467.0,28757.9,29009.2,20162.7,21299.8,1246.5,1991.6,3810.6,9983.2,1251.2,1677.3,1746.5,1675.9,1047.1,2181.6,10808.2,9312.3,11739.6,16948.3,14425.8,10169.0,9377.8,10240.4,18672.5,18251.6
ywoD,451.0,276.3,475.7,4359.0,9891.4,202.3,341.0,204.4,1294.0,898.8,419.0,300.5,296.3,402.1,1233.7,283.1,152.5,368.0,471.1,577.5,171.5,331.4,427.5,725.0,131.6,1208.0,1403.6,170.4,339.7,873.8,510.0,237.3,334.8,2324.7,4108.9,270.2,382.9,417.1,2965.6,6762.9
yorO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,40.3,53.2,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,227.4,119.4,0.0,0.0,112.4,118.1,0.0,0.0,0.0
bkdR,2775.5,3720.4,10903.4,5705.7,5548.6,3100.8,5373.2,3134.6,4232.9,8816.4,1353.5,1165.3,1834.5,2170.1,2614.4,729.6,800.9,2116.2,2334.8,3341.6,4138.2,8751.9,5055.2,6324.6,5002.0,1729.9,8173.8,5005.2,4524.1,2572.7,1090.7,2568.2,2850.6,1070.5,768.0,940.5,3771.3,997.6,1738.0,1416.4
yomL,0.0,0.0,0.0,0.0,0.0,119.9,0.0,102.9,38.8,0.0,403.1,579.6,480.9,450.8,695.4,564.2,359.0,309.1,339.4,490.9,0.0,0.0,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,826.7,762.3,370.3,62.2,112.6,1478.3,487.0,362.7,129.5,72.3
ctaO,19.1,83.5,414.5,392.9,824.9,383.8,56.5,466.8,99.7,196.8,689.1,277.8,552.3,760.6,1084.3,457.5,223.9,403.6,502.2,1265.9,528.0,1680.6,1506.6,218.1,134.9,1377.3,346.1,1107.1,539.2,216.7,718.5,1332.1,1839.6,1381.0,2645.2,364.9,2598.9,1067.1,1435.7,2878.8
bioB,27035.0,862.7,1072.3,15528.9,5826.1,18040.0,6407.5,5742.8,16117.0,13740.7,8845.6,10846.8,5243.8,10923.9,25881.5,8569.5,3433.3,13223.9,15782.4,21912.1,14081.9,4746.2,12527.1,9845.9,20106.2,15850.6,5049.7,5946.4,14281.1,21542.7,9671.5,2076.2,10917.8,6476.7,7302.9,8538.5,4304.9,14102.1,5559.3,3217.7
ydaL,51.4,2.5,7.9,0.0,3.3,124.3,0.0,212.7,29.0,14.7,341.5,166.4,68.0,121.6,125.2,384.0,232.0,45.1,44.0,92.8,73.0,0.0,0.0,0.0,45.4,430.5,108.5,0.0,4.2,125.6,247.5,56.5,15.6,4.3,30.0,336.9,123.3,49.7,3.2,106.2
ydiF,743.6,563.0,625.3,353.0,303.3,659.3,327.3,389.9,542.3,337.1,1067.8,1151.8,705.4,463.4,373.1,1062.5,1460.5,670.6,636.7,395.5,372.4,431.3,154.2,402.5,275.3,936.9,422.9,132.9,314.4,185.9,1207.9,565.7,542.7,235.3,287.1,918.0,394.7,373.6,223.4,293.2
ypzI,5108.5,6511.3,2925.7,31797.2,97097.5,6387.2,10372.0,1004.6,4513.5,9376.0,229.1,402.2,596.2,1384.9,2055.6,778.8,374.6,1149.9,1293.2,1804.0,6017.0,12303.9,21162.7,8015.2,12353.8,0.0,1562.9,535.0,3500.1,2462.7,217.8,782.9,1934.9,9154.6,6760.7,435.1,0.0,1436.9,10542.0,22338.5
mmr,0.0,31.9,0.0,0.0,3.9,0.0,0.0,397.7,14.0,0.0,603.7,186.4,264.2,288.8,187.3,478.9,464.6,406.7,440.4,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.3,558.3,593.2,541.7,175.4,319.2,839.6,329.2,74.6,248.1
ydjA,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,354.6,409.3,222.6,103.6,52.8,527.5,238.8,180.1,81.0,8.5
ylqH,1085.7,356.3,268.3,599.6,262.6,666.8,1103.1,1074.8,1037.5,116.7,1117.7,266.6,378.1,141.5,338.0,1526.3,712.4,802.0,232.0,212.7,827.5,652.7,1136.9,0.0,1818.6,373.5,0.0,0.0,987.0,2901.5,89.8,158.7,0.0,127.5,54.9,303.3,215.7,204.2,143.9,157.2
