,Rep3@0min,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep1@0min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep2@0min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep3@210min,Rep3@225min,Rep1@210min,Rep1@225min,Rep2@210min,Rep2@225min
yfhB,5.1932134740608,5.02974662791044,3.63053853661867,3.39748436572483,3.15239199094251,3.20340546797709,3.27682336478487,3.4906264740327,4.9607919125201,4.66029424084271,3.88946199182143,3.61599942169652,3.14361681757835,3.22989545319281,3.62759543211116,3.3511970882546,5.38133562116482,4.6354410258059,3.82323078606367,3.54570310580887,3.31784473525604,2.98992170630234,3.85600443139158,2.99180478640049,3.97643169440401,4.03979072009305,3.5350437771514,4.20120629546103,3.85956369270404,4.00717513921163
ywaD,2.13746250215631,1.38651983924418,1.05629559205248,0.529846118305122,0.790387893161893,1.58010574625214,1.08685182553817,2.09324937272031,1.81459612072024,1.41722286960432,1.61071561078351,0.906796882908122,0.982748650308292,1.29189513586749,0.667422480456368,1.14756061180944,2.45742565273369,2.44834067424963,1.0176948116479,1.7625432588582,0.704934829885089,1.01087498828016,1.22276665358025,1.18464491682765,1.87874626596257,2.12060303638967,1.51378265337153,1.66081025356689,1.29493113385719,1.78906643820115
lnrN,0.996051456332833,1.52148995900553,1.10786624736464,1.25015019122958,1.57584799549439,1.32925916771784,2.14122881394637,1.73454067068832,0.131909485141158,1.3679438550917,0.0581035561267899,1.11599455075704,1.2892632123885,1.2019184248346,1.483319221828,1.10069464910197,0.980339401340852,1.83892826571455,0.729625912614552,1.78476078344925,1.16200156059552,0.907234943774834,2.49053667282239,2.03081431807958,2.30633169871582,2.61971225830742,1.37586390232873,2.11709778633061,1.72483560167796,1.88349847612305
yaaO,6.72006236605371,6.44032707850645,6.88662883522588,7.00470790611649,7.22048811344452,7.19543164233751,6.88188935313201,6.54960263353066,6.06887496250675,6.35433547803426,6.22620746405268,6.69559181636301,6.9957205589374,7.17042390980108,7.13498766290959,6.94521783744433,5.99011366602738,6.5229038204728,6.44856087541344,6.6911719001466,6.99370157957517,7.17300652234438,6.80737921058049,7.09675614551243,6.43756479981909,6.31787156836263,7.00677179562771,6.59506881646495,6.70153291562483,6.50229979091265
metC,5.37215601530414,3.66062984987141,2.57030364845813,2.11550768760411,2.15097177725466,2.44064541728934,3.25456389302027,3.34473447304811,4.14942914492739,2.25649671547032,2.28679824645108,1.11599455075704,1.86889555234606,2.37497133249312,2.85834588153686,2.70815104830018,4.67294050653111,2.56754290813992,2.20996294341731,2.16951884444987,2.50929893537465,2.16443449418012,2.88365792768266,2.30233416405802,3.89679475147671,4.64900308950214,2.83819960547216,4.12057788645221,3.43231029064414,4.47986293131077
gcvPB,5.76503055883806,4.79732012242185,3.50949521785613,3.53076357636382,3.3814188619326,3.14977256218328,3.2461060363379,2.90921470570136,5.24039775786118,4.39308755157682,3.78388516325656,2.87980024899489,3.4518693275551,3.19335457044392,3.60969407460658,3.17204050169906,4.89944373808692,3.6806540346987,3.65295458205201,3.4211750255926,3.08161811014562,3.42877833565873,3.22885244917181,3.29695767880677,3.71801115577647,3.15569855235702,3.44398884719957,4.10586951203595,3.18453394007477,3.90581510663786
yfjA,4.7372925145111,4.25461432630684,4.32853455760921,2.95103058188238,2.43688397728763,2.14452356624842,1.81507561178264,1.49332201564745,4.76788534674336,4.44450356785881,4.69740326238809,3.08647357381741,3.1562891485156,2.80751126227988,2.77302421415584,2.65237153463688,4.83260330866458,4.23495232186014,4.55458592070835,3.77197827092816,2.81977975787232,2.37332339895207,2.15261271817652,1.36473363630864,1.85231070287723,2.12060303638967,2.46006595573838,3.1194187855807,2.26404635240218,3.10416326419932
aroF,7.00818099789308,7.29324970179055,7.69339910709327,7.50209164993976,7.38735510094313,7.20531353830263,6.6871052446284,6.57696006864583,7.38658941969817,7.61052692021928,7.51865867396862,7.42156620111887,7.36296482791561,7.15139493705391,7.19280141637676,7.02934688142443,6.85613389478151,7.56430744374813,7.57476700528226,7.14206998893664,7.38315793371256,7.30927050890576,6.78067989611449,7.09739306685402,6.52593769409818,5.93004116262515,7.11143181756032,6.70894084804126,6.76680386174713,6.63377624429017
yfiH,0.776853453417183,1.2178639468883,1.445132411528,1.74676135172592,2.17338331001939,1.20204492865727,2.36081657329928,2.20434757673447,0.228266319289935,0.965863484727601,0.840036947696224,1.0151842320191,1.39996448260783,1.98765414775415,2.42702905285641,2.02022314939301,-0.0478476073908577,0.806726468310529,0.664405129329192,1.43745639804158,2.28035528716872,1.75078838816478,2.03360231599879,2.0728740129983,2.3822050925176,2.96449512777374,2.0097521670256,2.8637127959975,2.36620338474634,3.21727602219133
ynzC,6.90365656531791,7.02097845871124,6.02088254800521,5.56363761264501,5.57771285230773,5.49466945651951,5.07704873082435,5.01241900021245,6.60308692372687,6.16084949527346,5.78300336807199,5.63544514432088,5.90181154978907,5.40791700109989,5.2583948156104,5.69932485763319,7.4441213202104,7.2252056462283,6.39804825488246,5.75757501712743,6.04767339568667,5.32562608592449,5.47647713630224,5.55646280239004,4.59156308583112,4.53316211135199,5.22308630600166,4.75388625996559,5.42974067687852,5.01988146214066
sigL,7.1312635277072,5.84240929261357,5.63578700177164,5.04329867270429,5.33091680700553,5.42159648324659,5.80485330848336,6.05571754882772,6.36421698878825,6.35828361788565,6.090078080535,5.97440983170975,5.73126246876069,5.44760996342354,5.71018435938595,5.9346393718064,7.30283245305663,6.63481576649013,6.00648448155222,5.35717695270497,5.56304953559315,5.45376788195615,5.95849064796068,5.76806617395746,6.45304124044211,6.61001224270263,5.83307585927732,6.43952750996127,6.28643281553926,6.68711879091789
yqjV,4.58601187714067,3.78659506126742,3.15233350246428,2.59292789829132,2.45529201174999,3.02376528702364,3.65034070087653,3.97361265086433,4.15862894267367,3.47262592877438,3.33952469648872,2.92217999120897,2.45542985393916,3.01329369640968,2.85834588153686,3.26530139750815,4.31127662210601,3.49928877524143,3.13220991544924,3.32590639501049,3.00861329557856,2.71768990216216,3.43075032868651,2.82954264631319,4.05584576351608,4.72262553454234,2.99561052379793,4.06589790992239,3.48624351867201,4.08872455203494
ydbI,7.11151955717971,6.49671452480715,6.76189281459261,6.95418370859145,6.99920220369963,7.31313951478237,8.2911680728601,8.48817531222047,6.48980552722964,6.16536340027386,6.33226929259193,6.61014033520719,6.86141704227472,7.01149155389502,7.39265917012413,7.32685977899006,6.72642716400465,6.1928580988018,6.56593447864692,7.05962163151934,6.73134834921961,7.19884146991839,7.93400922108884,7.4428662621915,8.63264289939967,9.19607869903405,7.61142535843844,8.40457716256801,8.02487582430584,8.59445729715969
yxeH,7.18676046974945,7.39775539202509,6.62368265873279,6.76759840119185,6.91774864002597,7.17652037124076,7.52479870268511,7.63515191764465,7.66277947224342,7.42358966180615,7.25424174686019,7.11110424945687,7.18347150993422,7.10599291585522,7.20506882464678,7.41659334938386,7.6015606547572,7.49331057368208,7.1087598177902,6.93664776155447,7.05637468870327,6.99750103279288,7.4441136585932,7.08524321476158,7.80710563238208,8.08032695929562,7.38035368889851,7.83329141123066,7.64559308905779,7.75980048948305
feuC,7.76388074055542,9.70195541446231,7.23607161147773,8.25440001394924,8.06027836902997,8.28658811413407,8.41021667363287,8.58149980436346,8.64897954656575,8.57790581335034,7.13245573094193,8.20933825779256,8.02155626259838,8.06905964714223,7.90112655411416,7.68208854588505,8.06017814982886,9.28459732736867,7.26576281442794,7.83003697535184,7.9716251239491,8.31069317677541,8.3235732580647,8.01934949955192,8.64352377805966,8.65951656830497,7.8834052809865,8.00066100576429,8.28634918517641,8.38410153614008
