,Rep2@30min,Rep2@0min,Rep1@180min,Rep1@150min,Rep3@240min,Rep3@0min,Rep2@240min,Rep3@195min,Rep3@225min,Rep1@225min,Rep2@225min,Rep2@180min,Rep1@30min,Rep1@195min,Rep3@180min,Rep1@0min,Rep3@150min,Rep2@150min,Rep1@60min,Rep3@210min,Rep2@120min,Rep3@120min,Rep2@60min,Rep2@90min,Rep2@210min,Rep1@210min,Rep3@90min,Rep2@195min,Rep1@90min,Rep3@60min,Rep1@120min,Rep3@30min,Rep1@240min
zpaF,2.3183950639795,3.3289457048917,-0.404782056724889,-0.161551174418004,-1.56102954154762,2.79937895276723,-0.449769353306175,-1.56102954154762,-1.56102954154762,-0.109295431063658,-1.56102954154762,-1.13205983601906,1.57754015670685,0.625447467610074,-1.15045356349776,2.49486262791439,-0.0363021909084301,-0.313787521203171,2.0946270529414,-1.56102954154762,1.06058369263015,0.847252067259875,1.67689576969645,0.816084543910091,-0.801177332507106,-0.637906076453175,0.902053252583018,-0.179689284916894,1.44148567256208,1.08231133837209,0.982748650308292,2.04293535895247,0.242796474739517
yqaS,1.42731491393653,1.71927771835205,2.0310000234451,1.60438412839742,1.54280350478103,2.56054583135017,0.884691957865587,0.769966054687153,0.0430115334085144,0.94625498965474,0.0569091543726128,1.39359487588143,1.59905475758503,1.8321978205205,0.9684509958734,1.81459612072024,1.16840793991548,1.22716517412432,1.54280058838955,0.42277380304954,1.18627993535476,1.27789821480237,1.81853045495603,1.46523542687845,0.419579992741568,1.30162287150235,1.72837703752851,1.66889718493979,1.95838475359739,1.90480357440097,1.54192967615902,1.43862445139293,2.69839267928038
tgl,2.87544947707015,2.58379186674307,2.48183336814639,2.68000792214089,2.82504850973865,2.00899470282505,2.37545701092101,2.44959071333318,2.74402267269675,2.07744036819106,2.96711616609079,2.60627363881577,3.02528943199892,2.68450911757587,2.36081657329928,2.79147317097187,2.52280063570344,2.20870205667532,2.82373022510744,2.50607883754199,3.14492533882852,2.41823802697817,2.88267736160313,2.61613872910149,2.86206827538181,2.17134441352646,2.69112480502915,2.40468726301046,3.02945946784362,2.24136408903926,3.01036687340341,2.58008324029417,3.24890039342065
yhaM,8.03475590438717,7.70967936329347,7.29312702649653,7.2296117724137,7.90185528116731,7.35751531111603,8.05907806936088,7.82477510779691,8.20589155648928,7.87834195318895,7.98594128785454,7.64229135180749,7.81979947028912,7.41898311856328,7.6313369111292,7.71619956873822,7.41166820639198,7.31855842578743,7.71689833473278,8.00082158056787,7.27906553555711,7.29838887215662,7.57421225569463,7.38047460502019,7.79959374328893,7.39864750925981,7.20455713616768,7.38561314712349,7.49808092566762,7.36552152206735,7.41957866321259,7.75234728105484,7.66996452347911
sspH,1.39901934277527,0.169278337628979,2.87482099132532,2.64629012315053,1.54280350478103,0.750307781847654,2.04974682178849,3.35681046616538,4.11654725485511,3.85340351194638,3.68760330238696,2.88365792768266,1.3679438550917,3.25463732171444,2.92433705078542,-0.334590005666416,2.30791340329572,2.36030009353714,1.01732217805156,3.9224347290064,1.90946230366489,1.47119376818605,0.560688511951671,1.05419362025481,3.53823297218732,3.39722193253921,0.868867543257618,2.74101149793814,2.03762485142034,1.00281293152348,1.72319800029683,1.07153575355666,1.84630632230174
proH,6.1188839882236,6.02464497172326,3.91465343716898,4.47806592918396,4.48837035235452,5.74836000080365,4.27884493581147,3.90947116411298,3.25306720136751,3.79957930423109,3.98604660575211,4.1510533964801,5.91606478084487,3.59615607700683,3.72527840685095,6.32389602364397,4.22781100220154,4.34108535707321,5.51708120280002,3.49693040234283,4.74253189404058,4.75697044683341,5.34781252998598,5.03220447541533,4.04379953562409,3.66735829393618,4.78989074584686,4.1592482768926,4.94838765328823,5.05901200772676,4.78599803451012,6.27880178553621,4.18518529334929
B4U62_RS22745,-1.56102954154762,-1.10592957751678,-1.24401042790431,-0.65519117734475,-0.526911144284814,-1.10823263533349,-0.212160573269867,-0.232295483410745,1.09520006709477,0.0630431392170216,-1.01520132848557,-1.13205983601906,-1.22231725736689,-0.260872047300345,-0.34885523141686,-1.2702339741813,-0.859902425544368,-0.0133721779182332,-1.20911422024273,-1.08175144721789,-1.26930408529698,-1.06500147734553,-1.56102954154762,0.477189457863662,-0.306052018828949,-0.543644140633246,-0.751760946608984,-0.784185243394904,-1.04337259852844,-0.640174439520879,-1.56102954154762,-0.748285425714518,-0.0861488139428991
yuzA,-0.868155770921501,0.674323133291481,0.741161604363068,0.86339942744532,2.92961554762295,-0.253738300858023,2.221774210648,2.25684485796006,3.43928741870867,2.66399372808114,3.05089625829338,1.99164579877151,-0.717944595667231,1.45757817829235,1.36199174517781,0.483856080477432,1.67897255248528,0.235140085694703,1.65427873884805,2.20550941059418,1.16200156059552,0.669458954735651,2.02748162718093,1.3507581705839,1.99311917059576,2.02521352524242,1.61286173571944,1.39820281305871,0.849388296599908,1.71830234656965,0.665746935569118,-0.912645077319409,3.07395448249731
yybH,1.21649596973688,1.06944327585778,0.776664334776022,0.86339942744532,1.0184749864042,0.878405696412618,-0.212160573269867,0.617711854228687,1.22886976852288,0.356053209696092,0.665129171693399,0.139750477162611,1.5110015959258,0.97640234762599,0.540675596865991,1.20581613627548,1.0986856238876,1.04383069024162,0.45289446000717,0.623699320188135,0.636098210399177,0.901959659772662,0.991342464872078,0.303413916958911,0.80631437701486,1.65961114383998,0.690421192270024,0.839583227545481,0.325589557190508,1.18192231463948,1.33456803515012,0.957111127848261,-0.51295802052406
ykcB,1.88045456454683,0.933634997132523,1.95555823118971,1.72234847374368,0.815107289168333,1.81770729807009,1.62838371511442,1.69703549202806,1.97597678441591,1.76434326432662,1.14346577641507,1.81043712222122,1.29071787368988,2.06973189076342,1.69592462232428,1.42497267860752,1.97976222811455,1.86583762748882,1.94480038270662,1.00592539950015,1.61971082260573,2.10507641292513,1.36423038574507,2.21930834939114,1.71195876339506,2.3166464760753,2.25046846821158,1.94282738984977,1.64075128365906,1.98972897047435,1.65339929935091,2.20213055639894,0.837062454357773
ydiP,8.46725314269378,8.85912868204433,7.77897645796935,7.99229546393242,6.58566014494498,8.83637813302345,6.64803598018737,6.67667048395241,5.93494050485428,7.15769425344784,6.59126829060673,7.28332157946927,8.12336865518829,7.81799550907422,7.20189514066423,8.54699334317072,7.82047112936745,7.92934036960194,7.83961121793246,6.63560739950212,7.95758829338156,7.94492247680385,8.12319611239375,7.88023201984007,7.03969227992132,7.73145552186275,7.81683399712339,7.65544473577733,7.82959258722711,8.04694683219389,7.94898679218838,8.44899009684063,7.63230562588692
