,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep3@210min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep1@210min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep2@210min,Rep3@225min,Rep3@240min,Rep1@225min,Rep1@240min,Rep2@225min,Rep2@240min
yyaF,8.97555750778189,9.35247997588762,9.5249131354653,9.49850536900634,9.51980339565109,9.50397449577234,9.54469843191721,9.73056599694553,9.01054599570588,9.03028033720003,9.41497757477722,9.60490272789391,9.5321540007583,9.47209102636204,9.55688371218659,9.45935934336598,8.96672620772206,9.14603008784543,9.34933181634164,9.53186998550842,9.43008788955969,9.62916755385311,9.42155727023734,9.64333676670454,9.70289875484118,9.61491360257196,9.35351021395339,9.30829804274172,9.53593904775648,9.4510709389416
yqhR,0.980733611363111,1.48468451610814,1.67177522878083,1.10213974195551,1.65488374858124,0.926721587497838,1.0923460320884,1.55731284426649,1.06195528644356,1.01732217805156,1.23284320471748,1.06569516882554,1.15473429948101,0.94214730125192,0.950205232054734,0.893430914274358,1.27993775666139,1.60918922724988,1.28992251490358,1.21015649442408,0.870965004256935,1.18603226164368,0.933888658285368,0.59814291917573,1.96324376965861,1.85752773556413,1.68739835079918,1.14312987329873,0.982097772027059,2.07240591741365
yqfU,5.45071183461788,5.10732340531379,5.00180520385247,4.77173435505548,4.7063488519263,4.96039377907129,5.15062719965778,5.16169868917772,5.57568706270516,5.4083769626762,5.18577187737581,5.03445325281476,4.84613223094474,4.7588594558002,4.84823572140552,4.69224426476168,5.51673486720989,5.32688928540917,5.0846357212193,4.94106821583744,4.91353296267424,5.10806943606068,4.57963565237637,4.99740887887571,5.32274205358473,5.49458471649974,5.07155481112961,5.73588173116751,5.44325512683204,5.72171011372344
yvbT,6.86642691995405,6.47634428747512,6.34277001854975,6.28421943541231,6.52953869268315,7.03211192616487,7.06497702366012,7.07631369901055,6.61610976010279,6.29146540530863,6.37102296458524,6.41091088226884,6.41471905881074,6.38014077956388,6.49388333163649,6.46916758957349,6.82494783675677,6.47019046006249,6.43611919695569,6.40979718906567,6.35441704561551,6.89035457469618,6.38175284105431,6.93692173809525,7.4859184669363,7.21878889966385,6.84432205846396,7.15293909261221,7.06167659707413,7.35348182567609
bstD,8.02597295877865,7.89744060767158,7.50411934301898,7.198801951336,7.66067878681187,8.01601090647868,8.09233353206397,7.97501833793235,8.47293699226262,8.3990685575929,7.99403695717371,7.79796189084381,7.53442182034687,7.41219067522944,7.68233724043268,7.65151761407694,8.71385243850108,8.41057228677811,7.98589296991369,7.58753209136628,7.45229723841702,8.00096959319628,7.78760639056117,8.05577969474385,8.80976972345578,8.20591219175496,8.15954638603536,7.94564583619682,8.39516353384333,8.02245374423792
thiG,2.80184109233018,3.02398438073712,3.58285673373782,3.50142491678727,3.57897811543368,4.04101652752857,4.27664564490498,4.6655485739172,2.29655271514412,2.15652841422842,2.24104455856678,2.61081940750719,3.28932238274141,3.72322474649264,3.21117482801424,3.5546747283065,1.65972665446746,2.30930976070837,2.88651374780948,3.06861634490801,3.35847593024428,4.22986425721678,3.50328183356923,3.8922356285651,4.6765661741117,4.63300627280124,4.16855022692,3.06358423128694,4.15332905164582,4.61996298315563
pyrB,1.70059423466865,1.39078964413796,-0.131961897714428,1.23592494343083,0.503185271668085,0.697787354023503,-0.161690618135554,0.146391038762486,0.631943762189792,-1.37436807966182,0.678611029127459,0.393419591414889,0.440092913536568,0.22871606618616,0.48652702508758,0.346885597832429,0.950138579380419,-0.20042552062395,0.0944633843658192,-0.199977672080473,0.76979839617994,0.568632662349557,0.50304976658162,-0.0355171368537936,0.598564656448153,-0.0583128570723951,0.0084156311538153,0.510490119403848,0.476016180626806,0.539153446304053
fadA,1.6596166161374,2.06993187108382,2.83553704565843,2.45529201174999,2.89600284216964,3.08471798341084,2.87603591235835,3.2560395090238,2.00575150436005,2.02995017176292,2.50544133538111,2.29278434203309,2.57639416743829,3.38659459928738,2.78427134267045,3.13752360358469,2.12464498712987,2.40225389559007,2.74637412748097,2.46036426587617,2.89069928096219,3.09655478666489,3.16707048688712,3.14675732257347,2.8166066091479,1.74739333830977,2.62326088458726,0.627755352726845,3.31087704788912,1.77373195008891
rpoY,6.75268484811268,6.80060580443967,6.67883290819292,6.67332340471627,6.59351090718971,6.47819791838297,6.30978217051505,6.4308808764562,7.03303256079385,7.17326831784687,7.1909080295156,6.9926324025828,6.7040939941621,6.46895485995172,6.54400955935028,6.40855974751346,6.94662458204001,6.94720179120516,6.57326885563387,6.77252127161995,6.51433901549548,6.56606542554172,6.48660445832373,6.52044697798,6.24872586015076,6.54782804006994,6.24740778863449,6.4922311952465,6.44796405077147,6.61658210033969
rnc,7.93801747184346,8.24869854315147,8.46023574099817,8.44782097591819,8.48514944069262,8.74654790258515,8.84903129380416,8.78345438119368,8.04445794220417,8.2833118884801,8.25685518078899,8.21925993900796,8.35620892498598,8.27420658911835,8.40570393739408,8.33108971967654,8.11005637985023,8.16468984103405,8.446976980098,8.41256960582539,8.41060568053436,8.6931272691975,8.4621308769605,8.71826880943171,9.14343430271813,9.06096402745627,8.68103820509517,8.7598990081702,8.76978998259514,8.89335279673526
